id,no answer,very important,quite important,not important,not at all important
0,0.025,0.3086,0.4106,0.2298,0.026
1,0.0187,0.2432,0.6361,0.0985,0.0036
2,0.0161,0.1409,0.5815,0.2182,0.0432
3,0.0701,0.2034,0.5589,0.144,0.0236
4,0.0124,0.3125,0.6189,0.0542,0.002
5,0.0018,0.7358,0.2491,0.0118,0.0015
6,0.0009,0.5644,0.3916,0.039,0.004
7,0.0042,0.0114,0.2268,0.5548,0.2029
8,0.0061,0.4338,0.4817,0.0693,0.0091
9,0.0057,0.8208,0.1668,0.0065,0.0001
10,0.0062,0.4411,0.4726,0.0701,0.01
11,0.0042,0.0085,0.1814,0.5199,0.286
12,0.0135,0.7212,0.2555,0.0096,0.0003
13,0.003,0.6683,0.3097,0.0181,0.0009
14,0.0062,0.2627,0.5353,0.1633,0.0325
15,0.0072,0.7236,0.2521,0.0165,0.0006
16,0.0373,0.3718,0.5381,0.0506,0.0022
17,0.0005,0.0035,0.1233,0.4911,0.3815
18,0.0118,0.2652,0.6065,0.1122,0.0043
19,0.0006,0.7151,0.2623,0.0185,0.0035
20,0.0297,0.7373,0.1725,0.0513,0.0092
21,0.0002,0.8233,0.1723,0.004,0.0001
22,0.0114,0.4602,0.4588,0.0607,0.0089
23,0.004,0.2443,0.6462,0.0905,0.0149
24,0.037,0.5172,0.3785,0.0626,0.0046
25,0.0158,0.4582,0.4668,0.057,0.0022
26,0.0126,0.7619,0.2088,0.0156,0.0011
27,0.009,0.2636,0.4903,0.1956,0.0415
28,0.0114,0.5246,0.4016,0.0586,0.0038
29,0.0903,0.5877,0.3156,0.0064,0
30,0.0054,0.044,0.1996,0.5956,0.1553
31,0.0015,0.6745,0.3075,0.016,0.0005
32,0.0004,0.8421,0.1533,0.0041,0.0001
33,0.02,0.3435,0.499,0.1214,0.0161
34,0.0028,0.7825,0.2072,0.0074,0.0002
35,0.0185,0.1007,0.2445,0.2143,0.422
36,0.0026,0.6208,0.3515,0.0238,0.0014
37,0.0053,0.8631,0.1262,0.0052,0.0001
38,0.0024,0.5426,0.4237,0.0301,0.0012
39,0.0045,0.694,0.2751,0.0247,0.0017
40,0.0021,0.7202,0.2684,0.0088,0.0005
41,0.0106,0.0563,0.3718,0.3308,0.2304
