id,no answer,very important,quite important,not important,not at all important
0.0000,-38.7484,0.0000,-17.2675,-28.4988,-25.9788
1.0000,-25.3768,-0.4963,-0.9386,-21.9272,-42.1195
2.0000,-19.4462,-6.9933,-11.4259,-0.0009,-19.8392
3.0000,-16.2998,-10.4148,-0.0715,-6.9793,-2.6870
4.0000,-33.6893,-19.8048,-0.0000,-11.3130,-34.9323
5.0000,-24.5458,-0.0001,-9.7077,-25.1607,-20.8935
6.0000,-21.2984,-0.0045,-5.4402,-9.9415,-9.4350
7.0000,-18.6630,-36.6060,-13.0583,-7.2367,-0.0007
8.0000,-8.3972,-0.0012,-17.5199,-20.1285,-6.9870
9.0000,-42.1134,-0.0000,-14.7983,-32.7647,-27.0397
10.0000,-24.5327,-0.0475,-9.3858,-19.6341,-3.0734
11.0000,-22.4262,-20.2148,-4.1814,-0.0154,-15.4109
12.0000,-25.7429,-0.0000,-11.0780,-22.0541,-29.6339
13.0000,-27.9536,-5.9898,-0.0025,-29.6517,-26.1491
14.0000,-26.5346,-12.3663,-0.0543,-2.9402,-16.7673
15.0000,-35.0924,-0.0000,-15.1884,-28.5594,-51.6968
16.0000,-17.4134,-0.0297,-3.5303,-15.8896,-34.9756
17.0000,-22.9193,-44.2955,-6.7850,-0.0011,-15.2927
18.0000,-16.6249,-5.2906,-0.0057,-7.2946,-22.4653
19.0000,-22.3775,-0.0003,-11.2533,-9.1980,-8.5086
20.0000,-19.8595,-7.7125,-11.2106,-3.9869,-0.0192
21.0000,-27.6712,-0.0000,-20.4766,-30.8797,-10.3765
22.0000,-0.2946,-2.2064,-5.7965,-5.5938,-1.9782
23.0000,-28.9344,-14.7134,-0.0002,-8.3555,-38.0704
24.0000,-21.0655,-8.2158,-0.0003,-16.6875,-29.1801
25.0000,-27.2809,-8.5570,-0.0002,-19.6935,-31.3213
26.0000,-14.0665,-0.0001,-8.9870,-32.6198,-30.4288
27.0000,-13.1624,-9.6328,-0.0841,-2.5182,-11.4472
28.0000,-38.1889,-20.7374,-0.0003,-8.2891,-30.8221
29.0000,-13.0314,-0.0046,-8.2987,-12.4049,-5.4323
30.0000,-23.3288,-22.2610,-18.2351,-5.3859,-0.0046
31.0000,-29.6827,-0.0052,-5.2713,-23.2849,-55.1639
32.0000,-29.7241,-0.0000,-12.2141,-33.3851,-29.3857
33.0000,-20.7471,-13.2074,-0.0014,-6.6070,-20.4318
34.0000,-25.4281,-0.7347,-0.6532,-16.7987,-32.1849
35.0000,-14.7561,-18.0516,-3.6372,-4.4248,-0.0391
36.0000,-40.2410,-0.0000,-10.9807,-42.4566,-41.6704
37.0000,-49.2552,0.0000,-28.6768,-28.5070,-61.0667
38.0000,-17.5990,-2.8938,-0.0570,-13.9509,-30.2444
39.0000,-25.0654,-0.1765,-1.8213,-23.6191,-13.4080
40.0000,-34.3985,-0.0508,-3.0043,-34.1883,-40.0771
41.0000,-14.7827,-19.7370,-0.0003,-8.6738,-8.8865
42.0000,-10.5835,-2.8808,-9.0015,-6.2635,-0.0599
43.0000,-26.6221,-1.1785,-0.3678,-13.4043,-39.5445
44.0000,-43.5957,-0.0000,-14.4560,-33.3177,-45.5793
45.0000,-32.6986,-20.7755,-0.0009,-7.0150,-37.0970
46.0000,-22.1382,-0.0003,-8.0233,-31.9975,-39.6101
47.0000,-32.2103,-5.1672,-0.0057,-16.8416,-49.7124
48.0000,-34.1795,-0.0000,-12.4979,-37.5792,-27.4901
49.0000,-19.2821,-0.0000,-12.9582,-46.5497,-46.2606
50.0000,-19.2359,-0.0002,-8.7999,-29.2160,-26.5533
51.0000,-12.2639,-8.5934,-6.1196,-0.0024,-16.5181
52.0000,-38.2012,-0.1234,-2.1533,-10.4457,-26.2754
53.0000,-16.6198,-17.0882,-1.0097,-0.4570,-5.9892
54.0000,-28.6985,-0.4648,-0.9895,-13.5360,-13.0953
55.0000,-25.0394,-0.0823,-2.5381,-19.0297,-42.1137
56.0000,-22.2027,-9.9218,-0.0001,-11.5485,-26.3335
57.0000,-25.4416,-0.0003,-8.1727,-20.3629,-29.2836
58.0000,-33.5742,-10.5101,-5.0827,-0.0063,-16.0926
59.0000,-28.6855,-0.0464,-3.0941,-28.4985,-37.1300
60.0000,-33.9133,-0.0007,-7.2993,-32.5205,-39.4598
61.0000,-10.7435,-16.2425,-0.0746,-2.8691,-4.1909
62.0000,-33.2528,-24.3053,-0.0024,-6.0141,-30.5005
63.0000,-21.0113,-0.9061,-0.5177,-16.0860,-27.0879
64.0000,-34.7502,-9.4719,-0.0001,-10.0743,-21.7967
65.0000,-25.4711,-9.8475,-0.0001,-23.9289,-19.4872
66.0000,-16.5956,-0.5080,-0.9250,-6.3356,-18.0824
67.0000,-10.9398,-6.2153,-3.6103,-15.8024,-0.0295
68.0000,-27.5100,0.0000,-19.0247,-42.2375,-40.0654
69.0000,-26.7513,-0.9167,-0.5105,-17.2430,-41.0222
70.0000,-16.8160,-5.8274,-0.0077,-6.1860,-5.9282
71.0000,-29.3579,-0.0008,-7.0729,-21.3724,-29.9405
72.0000,-21.0264,-0.0008,-7.1486,-40.6977,-40.3372
73.0000,-15.3579,-1.2404,-1.7208,-0.6315,-20.2032
74.0000,-21.1481,-0.0000,-11.9612,-18.1190,-14.3809
75.0000,-23.0822,-0.0000,-10.0958,-17.9444,-36.2711
76.0000,-36.2201,-0.0006,-7.3459,-43.4377,-55.1988
77.0000,-26.6243,-9.3402,-0.0008,-7.3074,-22.9888
78.0000,-24.3648,0.0000,-26.4805,-44.4513,-90.5515
79.0000,-24.5988,-0.8141,-0.5853,-29.2953,-39.9356
80.0000,-23.8117,-25.8428,-13.6741,-0.0000,-28.3907
81.0000,-21.9461,-0.0984,-2.3689,-29.6222,-9.1700
82.0000,-24.1633,-2.0046,-3.3616,-0.2320,-3.2790
83.0000,-12.7048,-2.3489,-0.8361,-0.8133,-3.5851
84.0000,-21.3832,-7.5953,-9.8287,-0.0006,-22.3022
85.0000,-17.9825,-18.6517,-0.0272,-11.8557,-3.6198
86.0000,-26.7089,-0.0000,-14.9866,-29.3533,-33.7967
87.0000,-45.6106,0.0000,-20.8726,-44.3893,-40.5163
88.0000,-20.0764,-19.8885,-8.9874,-0.0001,-12.4439
89.0000,-19.5634,-26.1099,-3.3553,-0.0355,-22.6502
90.0000,-25.1426,-4.6769,-0.0094,-21.5349,-29.4176
91.0000,-18.0983,-8.3389,-0.0003,-14.1387,-10.3522
92.0000,-22.4246,-21.3240,-0.0002,-8.4917,-22.9978
93.0000,-14.4147,-23.0717,-3.1941,-0.0419,-14.8433
94.0000,-31.2000,-0.0000,-14.5308,-20.5086,-21.5287
95.0000,-33.2501,-0.0061,-5.0989,-22.7413,-31.7145
96.0000,-17.8735,-18.4108,-0.0010,-9.3629,-7.0315
97.0000,-29.8964,-8.7696,-5.5410,-0.0041,-25.3160
98.0000,-40.1237,-59.2830,-14.1179,-0.0411,-3.2129
99.0000,-35.1808,-1.8430,-0.1724,-25.8080,-37.9488
100.0000,-36.5036,-0.0005,-7.6111,-35.8407,-52.2449
101.0000,-23.6361,-16.5047,-0.0000,-14.5113,-18.4875
102.0000,-21.3822,-0.0491,-11.1267,-17.4698,-3.0386
103.0000,-21.7760,-31.4106,-10.3929,-4.4566,-0.0117
104.0000,-11.9725,-25.5348,-27.9489,-0.0205,-3.8962
105.0000,-28.7946,-0.0000,-14.1364,-23.3436,-33.1454
106.0000,-18.5259,-15.2553,-0.0000,-14.2238,-10.5127
107.0000,-18.6410,-0.0000,-12.8333,-35.7788,-23.0587
108.0000,-29.4258,-0.0001,-9.3752,-17.1722,-28.7609
109.0000,-12.7093,-6.3882,-0.0017,-21.9439,-15.4625
110.0000,-22.5689,-14.4895,-0.0001,-9.5020,-23.2535
111.0000,-37.4811,-2.8743,-0.0581,-28.5799,-32.2602
112.0000,-32.1567,-11.2714,-0.0000,-24.2335,-17.5334
113.0000,-25.0323,-21.1751,-0.0005,-7.5937,-37.2791
114.0000,-15.6413,-8.4789,-0.0003,-9.3083,-40.0567
115.0000,-22.9607,-0.0000,-14.8724,-27.0805,-27.5323
116.0000,-12.9607,-27.1085,-13.1230,-0.0552,-2.9250
117.0000,-21.2918,-17.9811,-9.2660,-0.0001,-19.5895
118.0000,-39.0621,0.0000,-25.5606,-26.9958,-44.2487
119.0000,-16.1890,-16.1577,-11.2243,-6.3290,-0.0018
120.0000,-34.1315,-5.6535,-0.0035,-42.4598,-56.9171
121.0000,-36.3095,-0.0650,-2.7652,-25.1037,-41.7279
122.0000,-14.1231,-32.6198,-29.9070,-1.1646,-0.3741
123.0000,-22.9991,-40.2067,-21.4096,-13.8666,-0.0000
124.0000,-37.4005,-11.8152,-0.0001,-9.2408,-35.2208
125.0000,-19.3406,-0.0000,-13.0018,-24.5074,-12.0989
126.0000,-13.5887,-8.0133,-0.0004,-10.6891,-18.2926
127.0000,-8.0601,-6.2528,-0.0022,-27.7795,-19.0663
128.0000,-7.7594,-1.6869,-0.6713,-12.5176,-1.1926
129.0000,-22.2027,-4.2603,-0.0570,-3.1862,-23.7020
130.0000,-13.0778,-13.2899,-3.5063,-0.0367,-5.1091
131.0000,-10.1642,-15.8041,-0.0019,-6.3255,-9.3086
132.0000,-29.7939,-0.1292,-2.1106,-15.3121,-29.4145
133.0000,-17.2013,-10.3861,-0.0000,-13.0756,-13.0171
134.0000,-20.3268,-0.0000,-13.8093,-13.1481,-18.1426
135.0000,-41.7264,-0.0264,-3.6489,-35.3524,-38.6465
136.0000,-14.5228,-11.3728,-8.6085,-0.0002,-13.5012
137.0000,-25.6094,-14.3649,-0.0000,-23.1735,-24.6900
138.0000,-13.4920,-21.8121,-19.5733,-0.0221,-3.8211
139.0000,-31.9575,-22.8517,0.0000,-23.0085,-25.7167
140.0000,-28.6830,-0.0100,-4.6119,-32.5915,-25.8267
141.0000,-6.8487,-8.5397,-7.1094,-0.0021,-11.7543
142.0000,-35.7006,-0.0000,-12.6670,-39.2381,-35.6787
143.0000,-15.4216,-0.1751,-1.8303,-8.2810,-10.8978
144.0000,-37.0847,-0.0000,-14.5712,-30.5779,-48.5847
145.0000,-4.0067,-26.8693,-2.1266,-0.3262,-1.9594
146.0000,-15.8242,-7.9820,-5.3052,-2.0549,-0.1432
147.0000,-3.0788,-7.0690,-6.0978,-0.0664,-4.1941
148.0000,-29.9489,-14.2601,-43.7619,-31.7303,-0.0000
149.0000,-29.8138,-9.7777,-0.0001,-17.9368,-23.3724
150.0000,-17.7727,-20.9421,-13.3090,-5.2403,-0.0053
151.0000,-14.4325,-14.2847,-0.0571,-10.9908,-2.8920
152.0000,-27.4489,-0.0000,-12.5169,-22.6454,-29.3714
153.0000,-13.7824,-0.0044,-5.4239,-30.1334,-28.7728
154.0000,-27.0327,-0.0002,-8.4893,-26.8901,-31.8453
155.0000,-30.7735,-16.9727,-17.4102,0.0000,-21.9720
156.0000,-14.6630,-0.0221,-3.8245,-11.6241,-11.0238
157.0000,-45.8014,0.0000,-21.3034,-49.6730,-56.7568
158.0000,-14.5952,-11.1144,-0.0048,-5.3359,-24.9642
159.0000,-16.9295,-16.2006,-17.3876,-3.8234,-0.0221
160.0000,-19.3594,-0.0000,-21.8516,-16.5516,-57.0289
161.0000,-34.9128,-0.0000,-13.7764,-52.6291,-48.6318
162.0000,-17.9523,-15.6391,-13.1995,-0.4300,-1.0513
163.0000,-29.2051,-3.3400,-0.0361,-30.6324,-48.7178
164.0000,-39.1801,0.0000,-34.7578,-61.0713,-62.9037
165.0000,-21.5182,-3.9989,-0.0185,-11.3093,-31.1251
166.0000,-19.5322,-0.0199,-3.9291,-24.8398,-12.2502
167.0000,-36.3203,0.0000,-18.5205,-46.8553,-22.6564
168.0000,-21.5860,-13.0020,-0.0000,-24.7053,-43.5508
169.0000,-21.2727,-8.2120,-0.0003,-23.6852,-38.9182
170.0000,-18.6567,-0.0000,-17.9578,-10.1064,-25.8432
171.0000,-33.9818,-13.7472,-0.0004,-7.9620,-12.7465
172.0000,-26.7815,-17.2513,-0.0000,-15.3084,-25.5140
173.0000,-20.3441,-0.1068,-2.2899,-16.0148,-21.8324
174.0000,-20.4225,-9.9486,-0.0000,-15.4397,-22.7540
175.0000,-25.7299,-21.8833,-0.0034,-6.3419,-6.4297
176.0000,-25.2457,-37.9324,-8.3300,-0.0002,-15.9353
177.0000,-18.3528,-4.1818,-0.0154,-21.9419,-17.4663
178.0000,-34.6698,0.0000,-17.5348,-50.6179,-58.1597
179.0000,-21.1138,-5.3216,-0.0829,-2.5945,-14.3917
180.0000,-20.5815,-1.8503,-0.1918,-4.0562,-20.0303
181.0000,-20.0442,-12.6945,-0.0000,-19.3390,-35.1861
182.0000,-29.3874,-0.0006,-7.4679,-27.1812,-40.8539
183.0000,-14.4010,-0.2686,-1.4458,-17.0810,-22.1933
184.0000,-18.0682,-14.1090,-4.1141,-0.0165,-24.2260
185.0000,-14.4772,-0.0069,-4.9842,-16.6994,-27.1704
186.0000,-32.2892,-0.0001,-8.9668,-16.6789,-32.7200
187.0000,-25.8234,-1.5850,-0.2293,-22.8190,-56.3082
188.0000,-20.7727,-0.7646,-0.6265,-13.9425,-24.8846
189.0000,-9.8813,-0.0671,-12.8927,-9.6107,-2.7363
190.0000,-4.4722,-14.6428,-5.8869,-0.4742,-1.0121
191.0000,-29.3556,-0.0000,-13.0860,-38.8349,-28.7651
192.0000,-15.9860,-10.9280,-6.6451,-11.9150,-0.0013
