id,no answer,very important,quite important,not important,not at all important
0,0,1,0,0,0
1,0,0.6088,0.3912,0,0
2,0,0.0009,0,0.9991,0
3,0,0,0.931,0.0009,0.0681
4,0,0,1,0,0
5,0,0.9999,0.0001,0,0
6,0,0.9955,0.0043,0,0.0001
7,0,0,0,0.0007,0.9993
8,0.0002,0.9989,0,0,0.0009
9,0,1,0,0,0
10,0,0.9537,0.0001,0,0.0463
11,0,0,0.0153,0.9847,0
12,0,1,0,0,0
13,0,0.0025,0.9975,0,0
14,0,0,0.9471,0.0529,0
15,0,1,0,0,0
16,0,0.9707,0.0293,0,0
17,0,0,0.0011,0.9989,0
18,0,0.005,0.9943,0.0007,0
19,0,0.9997,0,0.0001,0.0002
20,0,0.0004,0,0.0186,0.981
21,0,1,0,0,0
22,0.7448,0.1101,0.003,0.0037,0.1383
23,0,0,0.9998,0.0002,0
24,0,0.0003,0.9997,0,0
25,0,0.0002,0.9998,0,0
26,0,0.9999,0.0001,0,0
27,0,0.0001,0.9193,0.0806,0
28,0,0,0.9997,0.0003,0
29,0,0.9954,0.0002,0,0.0044
30,0,0,0,0.0046,0.9954
31,0,0.9949,0.0051,0,0
32,0,1,0,0,0
33,0,0,0.9986,0.0014,0
34,0,0.4796,0.5204,0,0
35,0,0,0.0263,0.012,0.9617
36,0,1,0,0,0
37,0,1,0,0,0
38,0,0.0554,0.9446,0,0
39,0,0.8382,0.1618,0,0
40,0,0.9504,0.0496,0,0
41,0,0,0.9997,0.0002,0.0001
42,0,0.0561,0.0001,0.0019,0.9419
43,0,0.3077,0.6923,0,0
44,0,1,0,0,0
45,0,0,0.9991,0.0009,0
46,0,0.9997,0.0003,0,0
47,0,0.0057,0.9943,0,0
48,0,1,0,0,0
49,0,1,0,0,0
50,0,0.9998,0.0002,0,0
51,0,0.0002,0.0022,0.9976,0
52,0,0.8839,0.1161,0,0
53,0,0,0.3643,0.6332,0.0025
54,0,0.6282,0.3718,0,0
55,0,0.921,0.079,0,0
56,0,0,0.9999,0,0
57,0,0.9997,0.0003,0,0
58,0,0,0.0062,0.9938,0
59,0,0.9547,0.0453,0,0
60,0,0.9993,0.0007,0,0
61,0,0,0.9281,0.0567,0.0151
62,0,0,0.9976,0.0024,0
63,0,0.4041,0.5959,0,0
64,0,0.0001,0.9999,0,0
65,0,0.0001,0.9999,0,0
66,0,0.6017,0.3965,0.0018,0
67,0,0.002,0.027,0,0.9709
68,0,1,0,0,0
69,0,0.3998,0.6002,0,0
70,0,0.0029,0.9923,0.0021,0.0027
71,0,0.9992,0.0008,0,0
72,0,0.9992,0.0008,0,0
73,0,0.2893,0.1789,0.5318,0
74,0,1,0,0,0
75,0,1,0,0,0
76,0,0.9994,0.0006,0,0
77,0,0.0001,0.9992,0.0007,0
78,0,1,0,0,0
79,0,0.443,0.557,0,0
80,0,0,0,1,0
81,0,0.9063,0.0936,0,0.0001
82,0,0.1347,0.0347,0.7929,0.0377
83,0,0.0955,0.4334,0.4434,0.0277
84,0,0.0005,0.0001,0.9994,0
85,0,0,0.9732,0,0.0268
86,0,1,0,0,0
87,0,1,0,0,0
88,0,0,0.0001,0.9999,0
89,0,0,0.0349,0.9651,0
90,0,0.0093,0.9907,0,0
91,0,0.0002,0.9997,0,0
92,0,0,0.9998,0.0002,0
93,0,0,0.041,0.959,0
94,0,1,0,0,0
95,0,0.9939,0.0061,0,0
96,0,0,0.999,0.0001,0.0009
97,0,0.0002,0.0039,0.9959,0
98,0,0,0,0.9598,0.0402
99,0,0.1583,0.8417,0,0
100,0,0.9995,0.0005,0,0
101,0,0,1,0,0
102,0,0.9521,0,0,0.0479
103,0,0,0,0.0116,0.9884
104,0,0,0,0.9797,0.0203
105,0,1,0,0,0
106,0,0,1,0,0
107,0,1,0,0,0
108,0,0.9999,0.0001,0,0
109,0,0.0017,0.9983,0,0
110,0,0,0.9999,0.0001,0
111,0,0.0565,0.9435,0,0
112,0,0,1,0,0
113,0,0,0.9995,0.0005,0
114,0,0.0002,0.9997,0.0001,0
115,0,1,0,0,0
116,0,0,0,0.9463,0.0537
117,0,0,0.0001,0.9999,0
118,0,1,0,0,0
119,0,0,0,0.0018,0.9982
120,0,0.0035,0.9965,0,0
121,0,0.937,0.063,0,0
122,0,0,0,0.3121,0.6879
123,0,0,0,0,1
124,0,0,0.9999,0.0001,0
125,0,1,0,0,0
126,0,0.0003,0.9996,0,0
127,0.0003,0.0019,0.9978,0,0
128,0.0004,0.1851,0.511,0,0.3034
129,0,0.0141,0.9446,0.0413,0
130,0,0,0.03,0.9639,0.006
131,0,0,0.9981,0.0018,0.0001
132,0,0.8788,0.1212,0,0
133,0,0,1,0,0
134,0,1,0,0,0
135,0,0.974,0.026,0,0
136,0,0,0.0002,0.9998,0
137,0,0,1,0,0
138,0,0,0,0.9781,0.0219
139,0,0,1,0,0
140,0,0.9901,0.0099,0,0
141,0.0011,0.0002,0.0008,0.9979,0
142,0,1,0,0,0
143,0,0.8394,0.1604,0.0003,0
144,0,1,0,0,0
145,0.0182,0,0.1192,0.7216,0.1409
146,0,0.0003,0.005,0.1281,0.8666
147,0.046,0.0009,0.0022,0.9358,0.0151
148,0,0,0,0,1
149,0,0.0001,0.9999,0,0
150,0,0,0,0.0053,0.9947
151,0,0,0.9445,0,0.0555
152,0,1,0,0,0
153,0,0.9956,0.0044,0,0
154,0,0.9998,0.0002,0,0
155,0,0,0,1,0
156,0,0.9781,0.0218,0,0
157,0,1,0,0,0
158,0,0,0.9952,0.0048,0
159,0,0,0,0.0219,0.9781
160,0,1,0,0,0
161,0,1,0,0,0
162,0,0,0,0.6505,0.3495
163,0,0.0354,0.9646,0,0
164,0,1,0,0,0
165,0,0.0183,0.9817,0,0
166,0,0.9803,0.0197,0,0
167,0,1,0,0,0
168,0,0,1,0,0
169,0,0.0003,0.9997,0,0
170,0,1,0,0,0
171,0,0,0.9996,0.0003,0
172,0,0,1,0,0
173,0,0.8987,0.1013,0,0
174,0,0,1,0,0
175,0,0,0.9966,0.0018,0.0016
176,0,0,0.0002,0.9998,0
177,0,0.0153,0.9847,0,0
178,0,1,0,0,0
179,0,0.0049,0.9204,0.0747,0
180,0,0.1572,0.8255,0.0173,0
181,0,0,1,0,0
182,0,0.9994,0.0006,0,0
183,0,0.7644,0.2356,0,0
184,0,0,0.0163,0.9837,0
185,0,0.9932,0.0068,0,0
186,0,0.9999,0.0001,0,0
187,0,0.2049,0.7951,0,0
188,0,0.4655,0.5345,0,0
189,0.0001,0.9351,0,0.0001,0.0648
190,0.0114,0,0.0028,0.6224,0.3634
191,0,1,0,0,0
192,0,0,0.0013,0,0.9987
193,0,0,0.0002,0.9986,0.0013
194,0,0,1,0,0
195,0,1,0,0,0
196,0,1,0,0,0
197,0,0,1,0,0
198,0,0,0.1217,0.0186,0.8597
199,0,0.1581,0.8419,0,0
200,0,0,0.0801,0.91,0.0099
201,0,0,0,0.9067,0.0933
202,0,0.0302,0.9698,0,0
203,0,1,0,0,0
204,0,0.893,0.107,0,0
205,0,0.0011,0,0.9988,0
206,0,0.9993,0.0007,0,0
207,0,0.1558,0.8442,0,0
208,0,0.9905,0.0095,0,0
209,0,0,1,0,0
210,0,0.0001,0.5302,0.0109,0.4588
211,0,0.9958,0,0.0013,0.0029
212,0.0091,0,0.0166,0.9743,0
213,0,0.9933,0.0051,0.0008,0.0007
214,0,0,0.7739,0.2261,0
215,0,0,1,0,0
216,0,0,0.0021,0.9979,0
217,0,0.9779,0.0221,0,0
218,0,1,0,0,0
219,0,0.0001,0.9999,0,0
220,0,0,0,0.9997,0.0003
221,0,0.9995,0.0005,0,0
222,0,0.0001,0.808,0.0001,0.1918
223,0,0.9997,0.0003,0,0
224,0,0,0,0.0309,0.9691
225,0,0.0032,0.9966,0.0002,0
226,0,0,0.002,0.2622,0.7357
227,0,0,0.9999,0.0001,0
228,0,0.9999,0.0001,0,0
229,0,1,0,0,0
230,0.0671,0,0.0062,0.9267,0
231,0,0.259,0.741,0,0
232,0,1,0,0,0
233,0,0.8789,0.1211,0.0001,0
234,0,0,0.9547,0,0.0453
235,0,0,1,0,0
236,0,0,1,0,0
237,0,0.9995,0.0005,0,0
238,0,0.1171,0.8713,0.0116,0
239,0,1,0,0,0
240,0,0,0.5058,0.4942,0
241,0,0,0,1,0
242,0,1,0,0,0
243,0,0.5968,0.4032,0,0
244,0,1,0,0,0
245,0,0.7974,0.2026,0,0
246,0,1,0,0,0
247,0,0.9913,0.0087,0,0
248,0,0.019,0.9809,0,0
249,0,0,0.6775,0.3225,0
250,0,0.3892,0.6105,0.0003,0
251,0,0.5556,0.4444,0,0
252,0,0.4175,0.5825,0,0
253,0,0.0181,0.9818,0.0001,0
254,0,0,1,0,0
255,0,0.0046,0.9954,0,0
256,0,1,0,0,0
257,0,0,0.0059,0.9934,0.0007
258,0,0.9969,0.0031,0,0
259,0,0.0666,0,0.9334,0
260,0,0.8809,0.0649,0.0542,0
261,0,0.9986,0.0013,0.0001,0
262,0.0001,0.8848,0.1151,0,0
263,0,0,0.7728,0.0399,0.1874
264,0,0,0.0003,0.991,0.0088
265,0,0.0576,0.9408,0,0.0016
266,0,0.8437,0.0007,0.1554,0.0002
267,0,0.0047,0.9953,0,0
268,0,0.9896,0.0104,0,0
269,0,0,1,0,0
270,0,0.9997,0.0003,0,0
271,0,0.9998,0.0001,0,0.0001
272,0,0.9999,0.0001,0,0
273,0,1,0,0,0
274,0,0,0,0.9999,0.0001
275,0,0,1,0,0
276,0,1,0,0,0
277,0,0.9996,0.0004,0,0
278,0,0.9988,0.0012,0,0
279,0.0207,0.0063,0.9727,0.0001,0.0001
280,0,1,0,0,0
281,0.0004,0.0025,0.0001,0.997,0
282,0,0,0.027,0,0.973
283,0,1,0,0,0
284,0,0.0004,0.9996,0,0
285,0,0,1,0,0
286,0,1,0,0,0
287,0.0693,0.0025,0.0001,0.9274,0.0008
288,0,0,0.0023,0,0.9977
289,0,0.0132,0.9868,0,0
290,0,0,0.9983,0.0016,0
291,0,0.0003,0.0013,0.9968,0.0016
292,0,0,0,0.9161,0.0838
293,0,0.1724,0.8276,0,0
294,0,0.0643,0.8803,0.0102,0.0452
295,0,0,0,0,1
296,0,0.9984,0.0004,0,0.0013
297,0.0001,0.9782,0.0217,0,0
298,0.0015,0.4709,0.0039,0.0001,0.5236
299,0,0,1,0,0
300,0,0.0049,0.9951,0,0
301,0.0028,0.6841,0.2884,0.0239,0.0008
302,0.0217,0,0,0.0018,0.9765
303,0,0,0.9131,0.0869,0
304,0,0,0.0002,0.9998,0
305,0,0.9953,0.0047,0,0
306,0,0.9791,0.0184,0.0025,0
307,0,1,0,0,0
308,0,1,0,0,0
309,0,0.001,0.0029,0.996,0
310,0.001,0.5393,0.4576,0.0021,0
311,0,1,0,0,0
312,0,0.0001,0.0013,0.9933,0.0053
313,0,0.0003,0.9997,0,0
314,0,0.0001,0.0001,0.0037,0.9961
315,0,0.8492,0.1508,0,0
316,0,0.6674,0.3326,0,0
317,0,0.047,0.953,0,0
318,0,0,1,0,0
319,0,1,0,0,0
320,0,0.6791,0.3209,0,0
321,0,0,1,0,0
322,0,0.7426,0.2574,0,0
323,0,0.0033,0.9967,0,0
324,0,0.0022,0.9775,0,0.0203
325,0,0.0002,0.9998,0,0
326,0,0.999,0.001,0,0
327,0,0.9735,0.0265,0,0
328,0,1,0,0,0
329,0.0008,0.4617,0.5374,0.0001,0
330,0,0.9992,0.0008,0,0
331,0.0001,0.0001,0.899,0.0984,0.0024
332,0,0.0011,0.9989,0,0
333,0,0.0886,0.9114,0,0
334,0,0,0,0.0002,0.9998
335,0,0.994,0.006,0,0
336,0,0.0004,0.9996,0,0
337,0,0.2844,0.7156,0,0
338,0,0.0339,0.9661,0,0
339,0,0.998,0.002,0,0
340,0,0.733,0.267,0,0
341,0,0,1,0,0
342,0,1,0,0,0
343,0,0.0017,0.9975,0.0008,0
344,0,0.9673,0.0327,0,0
345,0.0149,0.0248,0.9596,0.0007,0
346,0.0035,0.9893,0.0067,0.0005,0
347,0,0,0,0.0038,0.9962
348,0,0.9998,0.0001,0.0001,0
349,0,0,1,0,0
350,0,1,0,0,0
351,0,0.0201,0.0074,0.9725,0
352,0.0001,0.0322,0.0012,0.9331,0.0334
353,0,0.9893,0.0107,0,0
354,0,0,0,0,1
355,0,0.9994,0.0006,0,0
356,0.0015,0,0.0048,0.1637,0.83
357,0.0002,0.9928,0.007,0,0
358,0,0.0019,0.9981,0,0
359,0,1,0,0,0
360,0,1,0,0,0
361,0,0.9811,0.0189,0,0
362,0,1,0,0,0
363,0,1,0,0,0
364,0,0,0.9999,0,0.0001
365,0,0.9373,0.0627,0,0
366,0,0.1521,0.8479,0,0
367,0,0,0,0.9978,0.0022
368,0,1,0,0,0
369,0,1,0,0,0
370,0,0,1,0,0
371,0,0.0002,0.9997,0,0
372,0,0.9999,0.0001,0,0
373,0.0008,0.0452,0.954,0,0
374,0,1,0,0,0
375,0,0,0.0039,0.9961,0
376,0,0.0001,0.9999,0,0
377,0,0.9811,0.0189,0,0
378,0,0,0.9995,0.0005,0
379,0,0,0.9999,0.0001,0
380,0,0.0002,0.8967,0.0002,0.1029
381,0,0.0001,0.9999,0,0
382,0,0,0.9948,0.0052,0
383,0,0.0971,0.9028,0,0
384,0.0023,0.0001,0.997,0,0.0007
385,0,0.6578,0.0939,0,0.2483
386,0.0013,0,0.1659,0.7351,0.0977
387,0,0,0.0001,0.9999,0
388,0,0,1,0,0
389,0,0,0.7347,0.2653,0
390,0,0,1,0,0
391,0,0.0002,0.9763,0.0001,0.0234
392,0,0.276,0.6962,0.0279,0
393,0,0.2859,0.7141,0,0
394,0,1,0,0,0
395,0.0002,0.0063,0.0001,0.3337,0.6598
396,0,0,0.9997,0,0.0003
397,0,0.9333,0.0667,0,0
398,0,0.9723,0.0277,0,0
399,0,0,0,0,1
400,0,0.9995,0.0005,0,0
401,0,0.153,0.847,0,0
402,0,0.9941,0.0059,0,0
403,0,0.9872,0.0128,0,0
404,0,0.9996,0.0003,0,0
405,0,0.7901,0.2099,0,0
406,0,0.4838,0.5162,0.0001,0
407,0,0.7923,0.1624,0.0453,0
408,0,0.0056,0,0.9944,0
409,0,1,0,0,0
410,0,0.0208,0.9792,0,0
411,0,0.9882,0.011,0.0002,0.0006
412,0,0,0,0.9951,0.0049
413,0,0.8968,0.1032,0,0
414,0,0,0.1265,0,0.8735
415,0,0.0318,0.0017,0.9665,0
416,0,0.7831,0.2169,0,0
417,0,0.0003,0.9858,0.014,0
418,0,1,0,0,0
419,0,0,0.9097,0.0903,0
420,0,0.9661,0.0241,0,0.0098
421,0,0.0006,0.9993,0,0.0001
422,0,0.0023,0.996,0.0017,0
423,0,0.0052,0.9947,0.0001,0
424,0,0.0052,0.993,0.0018,0
425,0.0018,0.0002,0,0.998,0
426,0,0.9525,0,0.0183,0.0292
427,0,0.0002,0.9998,0,0
428,0,0.9903,0.0097,0,0
429,0,0.066,0.9183,0,0.0157
430,0,1,0,0,0
431,0,0.9999,0.0001,0,0
432,0,0,0,1,0
433,0,0,0,0,1
434,0,0.9985,0.0015,0,0
435,0,0.0818,0.9161,0.0021,0
436,0,0.2236,0.7763,0,0
437,0,0,0.8126,0.1874,0
438,0,1,0,0,0
439,0,0.0001,0.0243,0.0001,0.9754
440,0,0.9999,0.0001,0,0
441,0,0.5086,0.4906,0.0008,0
442,0.0035,0,0.2315,0.765,0
443,0,0.0046,0.9954,0,0
444,0,0,0.9779,0.0221,0
445,0,0.9998,0.0002,0,0
446,0,0.6941,0.3058,0,0
447,0,0,0.9163,0.0837,0
448,0,0,0,0.0002,0.9998
449,0,0,1,0,0
450,0,0,0.9978,0.0001,0.0022
451,0,1,0,0,0
452,0,0.0008,0.9992,0,0
453,0,0.2803,0.7103,0.0095,0
454,0,0.0193,0.9803,0.0004,0
455,0,0.0863,0.9123,0,0.0014
456,0,0.0228,0.9772,0,0
457,0.0001,0,0.0254,0.9745,0
458,0,0.0046,0.9953,0.0002,0
459,0,1,0,0,0
460,0,0.0103,0.982,0,0.0077
461,0,0.9987,0.0002,0.0011,0
462,0,0.9955,0.0045,0,0
463,0,1,0,0,0
464,0,0.9994,0.0005,0,0
465,0,0.0002,0.9133,0.0005,0.0861
466,0,0.9789,0.0211,0,0
467,0,0.9981,0.0019,0,0
468,0,0,0.9998,0,0.0002
469,0,0.9999,0.0001,0,0
470,0,0.9999,0.0001,0,0
471,0,0,0,0,1
472,0,1,0,0,0
473,0,0.9994,0.0006,0,0
474,0,0.0277,0.9723,0,0
475,0,0.0005,0.9995,0,0
476,0,0.0622,0.9378,0,0
477,0,0,1,0,0
478,0,1,0,0,0
479,0,0,0.0002,0.9998,0
480,0,0,0.9903,0.0097,0
481,0,0,0.9996,0.0004,0
482,0,0.0279,0.9692,0.0029,0
483,0,0.8869,0.1131,0,0
484,0.3182,0,0,0.0567,0.6251
485,0,0.9999,0.0001,0,0
486,0.008,0.0001,0.9894,0,0.0025
487,0,0.2186,0.7814,0,0
488,0,0.0004,0.9996,0,0
489,0,0.9916,0.0084,0,0
490,0,0.9998,0.0002,0,0
491,0,0.0402,0.9598,0,0
492,0.001,0.0116,0.7191,0.0105,0.2578
493,0.0013,0.0025,0.5128,0,0.4834
494,0.7128,0.001,0,0.0013,0.2849
495,0,0,0,1,0
496,0,0,0.7191,0.2809,0
497,0,0.6794,0,0.3206,0
498,0,0.9999,0,0,0.0001
499,0,0.0002,0.9998,0,0
500,0,0.7101,0.2886,0.0013,0
501,0,1,0,0,0
502,0.0004,0,0.999,0,0.0005
503,0,0,0.3927,0.6073,0
504,0,0.5958,0.4042,0,0
505,0.0253,0.1967,0.7218,0.0522,0.004
506,0,0.016,0.984,0,0
507,0,1,0,0,0
508,0,1,0,0,0
509,0,0.9997,0.0003,0,0
510,0,1,0,0,0
511,0,1,0,0,0
512,0,0.0009,0.9991,0,0
513,0,0.0014,0.9986,0,0
514,0,0.8541,0.1459,0,0
515,0,0,0.0001,0.0002,0.9997
516,0,0.0294,0.9706,0,0
517,0,0,1,0,0
518,0,0.9927,0.0073,0,0
519,0,0.9958,0.0042,0,0
520,0,0.0316,0.0721,0.1214,0.7749
521,0,0.8424,0.1576,0,0
522,0,0.808,0.192,0,0
523,0,0.0028,0.9972,0,0
524,0,0.1064,0.8811,0.0124,0
525,0.9997,0,0.0003,0,0
526,0,0.564,0.436,0,0
527,0,0.9162,0.0838,0,0
528,0,0.8588,0.0571,0.0483,0.0358
529,0.0188,0.0031,0.9748,0,0.0033
530,0,0,0.999,0.001,0
531,0,0,0.8726,0.1248,0.0026
532,0,0.0741,0.9259,0,0
533,0,0.8642,0.1358,0,0
534,0,0,1,0,0
535,0,0.2034,0.7966,0,0
536,0,1,0,0,0
537,0,0.9987,0.0013,0,0
538,0,0.9304,0.0696,0,0
539,0,1,0,0,0
540,0,0.9694,0.0306,0,0
541,0,0.0007,0.9993,0,0
542,0,0.0063,0.9937,0,0
543,0,0,0.108,0.892,0
544,0.0005,0.3179,0.3445,0.3371,0
545,0,0,1,0,0
546,0,0,0.9859,0,0.0141
547,0,0,0.0061,0.9939,0
548,0,0.9999,0.0001,0,0
549,0,0.0662,0,0,0.9338
550,0,0,0,0.9331,0.0669
551,0,0.0099,0.9901,0,0
552,0,1,0,0,0
553,0,0,0.9996,0.0004,0
554,0,0.9996,0.0004,0,0
555,0,0.9926,0.0016,0,0.0058
556,0,1,0,0,0
557,0,0.0001,0.9999,0,0
558,0,0.6323,0.3677,0,0
559,0,0,0.0008,0.3407,0.6584
560,0,0.9999,0.0001,0,0
561,0,0.0001,0.9999,0,0
562,0,0.5567,0.4433,0,0
563,0,0.0081,0.9918,0,0.0001
564,0,0.9996,0.0004,0,0
565,0,1,0,0,0
566,0,1,0,0,0
567,0,0.6679,0.2317,0.1004,0
568,0,0,1,0,0
569,0,1,0,0,0
570,0,1,0,0,0
571,0,0.4284,0.5716,0,0
572,0,1,0,0,0
573,0,0.9978,0.0022,0,0
574,0,0.9988,0.0009,0.0004,0
575,0,0,1,0,0
576,0,0.7761,0.2215,0.0024,0
577,0,0.9994,0.0006,0,0
578,0,0.0002,0.9998,0,0
579,0,0,0,1,0
580,0,0,0,1,0
581,0,1,0,0,0
582,0,0.7365,0.0051,0.2584,0
583,0,0.0714,0.9286,0,0
584,0,0.0001,0.9978,0.0021,0
585,0,0,0.0001,0.9999,0
586,0,0.0004,0.9996,0,0
587,0,0.0002,0.6845,0.0037,0.3115
588,0,1,0,0,0
589,0,0.0078,0.9922,0,0
590,0,0,0,0.1142,0.8858
591,0,0.0142,0.9666,0.0189,0.0002
592,0.0009,0.0031,0.0078,0.0222,0.966
593,0,1,0,0,0
594,0,0.0046,0.9722,0.0232,0
595,0,0.0131,0.9855,0,0.0013
