id,no answer,very important,quite important,not important,not at all important
0.0000,0.0004,0.0019,0.5437,0.4520,0.0020
1.0000,0.0002,0.0079,0.9652,0.0264,0.0002
2.0000,0.0060,0.0546,0.5596,0.3611,0.0187
3.0000,0.0090,0.4827,0.4637,0.0333,0.0112
4.0000,0.0062,0.1537,0.7802,0.0561,0.0038
5.0000,0.0008,0.8746,0.1213,0.0023,0.0010
6.0000,0.0007,0.9042,0.0912,0.0019,0.0019
7.0000,0.0018,0.0021,0.0123,0.6701,0.3137
8.0000,0.0057,0.1955,0.7494,0.0322,0.0172
9.0000,0.0011,0.7139,0.2807,0.0032,0.0011
10.0000,0.0020,0.0944,0.8778,0.0236,0.0022
11.0000,0.0069,0.0176,0.0365,0.4756,0.4634
12.0000,0.0006,0.3291,0.6592,0.0100,0.0010
13.0000,0.0008,0.2011,0.7734,0.0233,0.0013
14.0000,0.0003,0.0034,0.9229,0.0729,0.0005
15.0000,0.0019,0.5635,0.4215,0.0101,0.0030
16.0000,0.0004,0.0249,0.9465,0.0276,0.0005
17.0000,0.0018,0.0023,0.0234,0.7315,0.2410
18.0000,0.0003,0.0143,0.9395,0.0454,0.0005
19.0000,0.0011,0.8999,0.0896,0.0027,0.0069
20.0000,0.0082,0.0552,0.0438,0.0722,0.8206
21.0000,0.0001,0.9823,0.0175,0.0001,0.0001
22.0000,0.0030,0.5345,0.4458,0.0124,0.0042
23.0000,0.0008,0.1003,0.8831,0.0152,0.0006
24.0000,0.0004,0.0100,0.9641,0.0250,0.0004
25.0000,0.0006,0.0195,0.9604,0.0188,0.0007
26.0000,0.0001,0.9630,0.0363,0.0004,0.0002
27.0000,0.0077,0.0364,0.6370,0.2815,0.0375
28.0000,0.0049,0.0946,0.7475,0.1394,0.0136
29.0000,0.0000,0.9800,0.0200,0.0000,0.0000
30.0000,0.0018,0.0024,0.0357,0.7815,0.1786
31.0000,0.0000,0.9792,0.0206,0.0001,0.0001
32.0000,0.0001,0.9768,0.0229,0.0002,0.0001
33.0000,0.0005,0.0060,0.7891,0.2026,0.0018
34.0000,0.0003,0.8507,0.1479,0.0008,0.0003
35.0000,0.0024,0.0111,0.3566,0.6162,0.0137
36.0000,0.0008,0.7669,0.2276,0.0037,0.0009
37.0000,0.0001,0.9638,0.0357,0.0003,0.0001
38.0000,0.0006,0.5521,0.4431,0.0037,0.0005
39.0000,0.0017,0.1058,0.8374,0.0519,0.0031
40.0000,0.0003,0.9348,0.0637,0.0006,0.0005
41.0000,0.0020,0.0020,0.0121,0.7466,0.2372
42.0000,0.0021,0.0107,0.4676,0.5073,0.0123
43.0000,0.0017,0.6885,0.3008,0.0062,0.0027
44.0000,0.0009,0.7857,0.2086,0.0038,0.0009
45.0000,0.0289,0.1236,0.3430,0.2891,0.2153
46.0000,0.0004,0.7106,0.2872,0.0015,0.0003
47.0000,0.0003,0.8437,0.1546,0.0010,0.0003
48.0000,0.0001,0.9797,0.0199,0.0002,0.0001
49.0000,0.0002,0.9323,0.0666,0.0007,0.0002
50.0000,0.0014,0.6335,0.3562,0.0071,0.0018
51.0000,0.0026,0.1534,0.8104,0.0308,0.0028
52.0000,0.0029,0.0806,0.8884,0.0250,0.0030
53.0000,0.0055,0.0121,0.1150,0.8097,0.0577
54.0000,0.0033,0.3228,0.6480,0.0208,0.0051
55.0000,0.0006,0.8919,0.1050,0.0014,0.0010
56.0000,0.0009,0.0137,0.7924,0.1901,0.0029
57.0000,0.0012,0.0229,0.9516,0.0230,0.0013
58.0000,0.0082,0.1487,0.7354,0.0931,0.0146
59.0000,0.0018,0.8154,0.1743,0.0056,0.0029
60.0000,0.0001,0.9810,0.0187,0.0001,0.0001
61.0000,0.0017,0.0037,0.1180,0.8340,0.0426
62.0000,0.0002,0.0018,0.7963,0.2012,0.0005
63.0000,0.0011,0.1114,0.8718,0.0147,0.0009
64.0000,0.0023,0.0663,0.9032,0.0256,0.0026
65.0000,0.0004,0.0110,0.9667,0.0214,0.0004
66.0000,0.0005,0.0042,0.7002,0.2936,0.0016
67.0000,0.0005,0.0343,0.9127,0.0517,0.0008
68.0000,0.0005,0.7538,0.2430,0.0022,0.0004
69.0000,0.0002,0.0117,0.9637,0.0242,0.0002
70.0000,0.0037,0.8813,0.0576,0.0136,0.0438
71.0000,0.0036,0.8144,0.1671,0.0087,0.0063
72.0000,0.0000,0.9986,0.0013,0.0000,0.0001
73.0000,0.0037,0.1590,0.7726,0.0587,0.0060
74.0000,0.0031,0.3007,0.6771,0.0154,0.0037
75.0000,0.0004,0.0119,0.9538,0.0333,0.0006
76.0000,0.0000,0.9594,0.0404,0.0001,0.0000
77.0000,0.0007,0.0206,0.9384,0.0398,0.0006
78.0000,0.0000,0.9946,0.0005,0.0001,0.0048
79.0000,0.0009,0.0836,0.9031,0.0116,0.0009
80.0000,0.0006,0.4544,0.5400,0.0044,0.0005
