id,no answer,very important,quite important,not important,not at all important
0,0.01,0.25,0.3,0.32,0.12
1,0,0.22,0.58,0.2,0
2,0.01,0.23,0.48,0.24,0.04
3,0.03,0.15,0.29,0.41,0.12
4,0.01,0.28,0.45,0.19,0.07
5,0.01,0.44,0.43,0.09,0.03
6,0,0.61,0.32,0.06,0.01
7,0.03,0.08,0.35,0.33,0.21
8,0.04,0.47,0.41,0.06,0.02
9,0.01,0.49,0.3,0.13,0.07
10,0.02,0.39,0.35,0.13,0.11
11,0.03,0.17,0.28,0.34,0.18
12,0,0.51,0.39,0.08,0.02
13,0,0.38,0.52,0.07,0.03
14,0.04,0.27,0.43,0.23,0.03
15,0.01,0.46,0.41,0.08,0.04
16,0,0.32,0.51,0.15,0.02
17,0.02,0.02,0.16,0.62,0.18
18,0,0.16,0.52,0.25,0.07
19,0.01,0.4,0.41,0.11,0.07
20,0.13,0.25,0.2,0.27,0.15
21,0,0.76,0.21,0.03,0
22,0,0.2,0.36,0.26,0.18
23,0.01,0.35,0.43,0.18,0.03
24,0.03,0.27,0.38,0.22,0.1
25,0.02,0.35,0.4,0.2,0.03
26,0.04,0.45,0.36,0.09,0.06
27,0.03,0.29,0.35,0.22,0.11
28,0.05,0.21,0.45,0.2,0.09
29,0.05,0.33,0.44,0.12,0.06
30,0.01,0.1,0.33,0.29,0.27
31,0,0.55,0.38,0.06,0.01
32,0,0.84,0.1,0.06,0
33,0.03,0.18,0.5,0.19,0.1
34,0.01,0.55,0.33,0.1,0.01
35,0.01,0.11,0.24,0.47,0.17
36,0,0.4,0.46,0.1,0.04
37,0.01,0.37,0.39,0.19,0.04
38,0,0.3,0.6,0.07,0.03
39,0.01,0.36,0.49,0.12,0.02
40,0.02,0.46,0.35,0.13,0.04
41,0,0.22,0.37,0.37,0.04
42,0.01,0.33,0.33,0.22,0.11
43,0,0.49,0.41,0.09,0.01
44,0,0.38,0.45,0.12,0.05
45,0.01,0.28,0.28,0.28,0.15
46,0,0.51,0.4,0.07,0.02
47,0.01,0.32,0.45,0.2,0.02
48,0.01,0.57,0.38,0.01,0.03
49,0.02,0.41,0.38,0.15,0.04
50,0.02,0.34,0.45,0.14,0.05
51,0.01,0.44,0.47,0.04,0.04
52,0.01,0.42,0.34,0.16,0.07
53,0.01,0.22,0.37,0.22,0.18
54,0,0.23,0.47,0.22,0.08
55,0,0.5,0.41,0.07,0.02
56,0.01,0.21,0.46,0.23,0.09
57,0,0.35,0.47,0.16,0.02
58,0.01,0.29,0.36,0.25,0.09
59,0.03,0.37,0.44,0.11,0.05
60,0.01,0.69,0.27,0.02,0.01
61,0,0.18,0.41,0.23,0.18
62,0,0.15,0.55,0.24,0.06
63,0.02,0.39,0.45,0.08,0.06
64,0.01,0.41,0.36,0.15,0.07
65,0.02,0.3,0.44,0.19,0.05
66,0.03,0.18,0.46,0.3,0.03
67,0.04,0.16,0.42,0.27,0.11
68,0,0.42,0.46,0.07,0.05
69,0,0.19,0.52,0.2,0.09
70,0.01,0.3,0.41,0.19,0.09
71,0,0.31,0.46,0.16,0.07
72,0.03,0.59,0.26,0.07,0.05
73,0.02,0.2,0.38,0.25,0.15
74,0.01,0.53,0.31,0.1,0.05
75,0.04,0.44,0.31,0.14,0.07
76,0.01,0.57,0.34,0.05,0.03
77,0,0.33,0.37,0.17,0.13
78,0.02,0.45,0.31,0.18,0.04
79,0.02,0.33,0.5,0.12,0.03
80,0.01,0.51,0.41,0.06,0.01
81,0.01,0.64,0.32,0.01,0.02
82,0.05,0.32,0.32,0.2,0.11
83,0.04,0.33,0.3,0.21,0.12
84,0.05,0.18,0.35,0.26,0.16
85,0,0.53,0.38,0.06,0.03
86,0,0.55,0.28,0.11,0.06
87,0,0.63,0.32,0.05,0
88,0.01,0.11,0.37,0.36,0.15
89,0.04,0.32,0.34,0.22,0.08
90,0,0.63,0.31,0.05,0.01
91,0.02,0.19,0.41,0.32,0.06
92,0.01,0.29,0.36,0.25,0.09
93,0.03,0.23,0.33,0.31,0.1
94,0.03,0.44,0.39,0.1,0.04
95,0.01,0.59,0.34,0.05,0.01
96,0.04,0.19,0.33,0.32,0.12
97,0.01,0.56,0.34,0.08,0.01
98,0.01,0.22,0.36,0.36,0.05
99,0,0.45,0.43,0.1,0.02
100,0,0.55,0.41,0.04,0
101,0.02,0.24,0.44,0.2,0.1
102,0.02,0.23,0.31,0.28,0.16
103,0.02,0.11,0.18,0.32,0.37
104,0,0.04,0.08,0.38,0.5
105,0,0.65,0.27,0.07,0.01
106,0.03,0.41,0.42,0.13,0.01
107,0.01,0.5,0.35,0.11,0.03
108,0,0.54,0.43,0.02,0.01
109,0,0.34,0.43,0.18,0.05
110,0,0.25,0.49,0.19,0.07
111,0.01,0.52,0.39,0.07,0.01
112,0.01,0.42,0.42,0.12,0.03
113,0.01,0.24,0.53,0.21,0.01
114,0.01,0.38,0.48,0.11,0.02
115,0.02,0.58,0.29,0.08,0.03
116,0.05,0.07,0.36,0.35,0.17
117,0,0.02,0.35,0.48,0.15
118,0.01,0.26,0.33,0.28,0.12
119,0.01,0.09,0.24,0.43,0.23
120,0,0.57,0.3,0.11,0.02
121,0.01,0.32,0.51,0.14,0.02
122,0.03,0.03,0.33,0.27,0.34
123,0.05,0.06,0.28,0.32,0.29
124,0.03,0.17,0.37,0.27,0.16
125,0,0.42,0.42,0.14,0.02
126,0.01,0.13,0.32,0.36,0.18
127,0.02,0.52,0.34,0.07,0.05
128,0,0.35,0.38,0.17,0.1
129,0.01,0.18,0.5,0.25,0.06
130,0.02,0.22,0.46,0.21,0.09
131,0.05,0.21,0.38,0.25,0.11
132,0,0.57,0.32,0.1,0.01
133,0,0.19,0.35,0.38,0.08
134,0,0.44,0.39,0.12,0.05
135,0,0.43,0.37,0.17,0.03
136,0.09,0.16,0.15,0.31,0.29
137,0.03,0.22,0.52,0.21,0.02
138,0.01,0.04,0.16,0.4,0.39
139,0.05,0.16,0.4,0.31,0.08
140,0,0.37,0.51,0.1,0.02
141,0,0.27,0.29,0.34,0.1
142,0,0.54,0.39,0.06,0.01
143,0.01,0.33,0.33,0.19,0.14
144,0.02,0.59,0.28,0.09,0.02
145,0.01,0.16,0.44,0.28,0.11
146,0,0.35,0.44,0.15,0.06
147,0.05,0.17,0.4,0.24,0.14
148,0.01,0.24,0.37,0.33,0.05
149,0.02,0.42,0.36,0.15,0.05
150,0.02,0.23,0.4,0.29,0.06
151,0.01,0.07,0.24,0.33,0.35
152,0.02,0.61,0.26,0.1,0.01
153,0.03,0.44,0.33,0.16,0.04
154,0.01,0.7,0.25,0.04,0
155,0.03,0.18,0.37,0.33,0.09
156,0.01,0.42,0.47,0.09,0.01
157,0,0.59,0.3,0.07,0.04
158,0.01,0.29,0.44,0.17,0.09
159,0.03,0.07,0.16,0.4,0.34
160,0.06,0.37,0.35,0.16,0.06
161,0.01,0.71,0.19,0.06,0.03
162,0.06,0.09,0.21,0.38,0.26
163,0.02,0.5,0.38,0.06,0.04
164,0.08,0.37,0.3,0.17,0.08
165,0.02,0.24,0.55,0.16,0.03
166,0.01,0.46,0.44,0.08,0.01
167,0,0.5,0.43,0.06,0.01
168,0,0.37,0.45,0.14,0.04
169,0.02,0.38,0.4,0.16,0.04
170,0.01,0.51,0.39,0.07,0.02
171,0,0.36,0.52,0.1,0.02
172,0.01,0.19,0.52,0.26,0.02
173,0.03,0.24,0.44,0.23,0.06
174,0.02,0.22,0.49,0.21,0.06
175,0.02,0.26,0.52,0.16,0.04
176,0.02,0.08,0.35,0.32,0.23
177,0.02,0.25,0.45,0.25,0.03
178,0.01,0.64,0.28,0.05,0.02
179,0.03,0.4,0.38,0.18,0.01
180,0,0.36,0.39,0.21,0.04
181,0.01,0.35,0.4,0.2,0.04
182,0.01,0.67,0.22,0.08,0.02
183,0,0.58,0.35,0.04,0.03
184,0,0.07,0.29,0.45,0.19
185,0.01,0.65,0.32,0.01,0.01
186,0.01,0.32,0.35,0.28,0.04
187,0,0.41,0.48,0.1,0.01
188,0.04,0.19,0.33,0.35,0.09
189,0.03,0.68,0.21,0.06,0.02
190,0.01,0.14,0.26,0.35,0.24
191,0.01,0.67,0.23,0.06,0.03
192,0.01,0.15,0.32,0.23,0.29
193,0.02,0.07,0.33,0.45,0.13
194,0.04,0.3,0.29,0.23,0.14
195,0.02,0.17,0.22,0.41,0.18
196,0,0.3,0.54,0.16,0
197,0.01,0.69,0.27,0.01,0.02
198,0.02,0.13,0.3,0.39,0.16
199,0,0.39,0.48,0.09,0.04
200,0.02,0.2,0.43,0.31,0.04
201,0.02,0.01,0.14,0.34,0.49
202,0.02,0.38,0.46,0.08,0.06
203,0.01,0.59,0.34,0.04,0.02
204,0.02,0.47,0.37,0.1,0.04
205,0.02,0.25,0.42,0.2,0.11
206,0.01,0.53,0.39,0.07,0
207,0,0.34,0.51,0.12,0.03
208,0.1,0.17,0.39,0.25,0.09
209,0.06,0.27,0.35,0.21,0.11
210,0.01,0.35,0.34,0.23,0.07
211,0.02,0.24,0.41,0.23,0.1
212,0,0.04,0.21,0.52,0.23
213,0.02,0.4,0.43,0.09,0.06
214,0.01,0.2,0.53,0.2,0.06
215,0.04,0.21,0.55,0.16,0.04
216,0.02,0.08,0.32,0.37,0.21
217,0,0.57,0.35,0.06,0.02
218,0,0.43,0.46,0.09,0.02
219,0.01,0.53,0.3,0.13,0.03
220,0.01,0.05,0.18,0.45,0.31
221,0.01,0.38,0.3,0.16,0.15
222,0.01,0.14,0.35,0.23,0.27
223,0,0.66,0.29,0.05,0
224,0,0.03,0.12,0.31,0.54
225,0,0.36,0.35,0.23,0.06
226,0.01,0.34,0.43,0.18,0.04
227,0.03,0.32,0.42,0.15,0.08
228,0.04,0.69,0.22,0.03,0.02
229,0.02,0.6,0.2,0.12,0.06
230,0.03,0.23,0.46,0.23,0.05
231,0.01,0.18,0.49,0.23,0.09
232,0,0.37,0.34,0.21,0.08
233,0.01,0.25,0.3,0.32,0.12
234,0.02,0.09,0.38,0.38,0.13
235,0.03,0.1,0.32,0.39,0.16
236,0,0.32,0.5,0.13,0.05
237,0,0.68,0.22,0.04,0.06
238,0.01,0.23,0.46,0.26,0.04
239,0.01,0.51,0.4,0.06,0.02
240,0,0.21,0.52,0.2,0.07
241,0.06,0.37,0.33,0.16,0.08
242,0.02,0.47,0.44,0.04,0.03
243,0.01,0.39,0.43,0.1,0.07
244,0.04,0.34,0.35,0.25,0.02
245,0.01,0.63,0.32,0.04,0
246,0.02,0.72,0.19,0.06,0.01
247,0.04,0.45,0.31,0.13,0.07
248,0.02,0.42,0.35,0.15,0.06
249,0.02,0.2,0.55,0.18,0.05
250,0.01,0.35,0.46,0.16,0.02
251,0.01,0.57,0.38,0.04,0
252,0.02,0.41,0.37,0.15,0.05
253,0.01,0.28,0.51,0.14,0.06
254,0.03,0.31,0.39,0.18,0.09
255,0.01,0.44,0.41,0.1,0.04
256,0,0.67,0.27,0.04,0.02
257,0.01,0.11,0.23,0.51,0.14
258,0.01,0.66,0.3,0.03,0
259,0.03,0.58,0.3,0.08,0.01
260,0.04,0.18,0.28,0.31,0.19
261,0.01,0.38,0.42,0.16,0.03
262,0,0.38,0.46,0.11,0.05
263,0.03,0.12,0.29,0.28,0.28
264,0.01,0.1,0.4,0.3,0.19
265,0.02,0.08,0.31,0.22,0.37
266,0.04,0.18,0.35,0.28,0.15
267,0.03,0.43,0.37,0.14,0.03
268,0,0.4,0.43,0.15,0.02
269,0,0.47,0.43,0.08,0.02
270,0.01,0.28,0.33,0.27,0.11
271,0,0.56,0.34,0.08,0.02
272,0.01,0.4,0.42,0.14,0.03
273,0.03,0.4,0.39,0.15,0.03
274,0.01,0.07,0.23,0.43,0.26
275,0.01,0.53,0.41,0.03,0.02
276,0.01,0.54,0.41,0.03,0.01
277,0,0.76,0.2,0.03,0.01
278,0.01,0.61,0.3,0.06,0.02
279,0.02,0.23,0.45,0.23,0.07
280,0.04,0.6,0.15,0.16,0.05
281,0.02,0.35,0.44,0.16,0.03
282,0.01,0.17,0.28,0.32,0.22
283,0.08,0.35,0.34,0.18,0.05
284,0,0.44,0.49,0.03,0.04
285,0,0.2,0.43,0.28,0.09
286,0,0.5,0.42,0.05,0.03
287,0.02,0.6,0.27,0.09,0.02
288,0,0.04,0.17,0.44,0.35
289,0,0.43,0.45,0.07,0.05
290,0.02,0.24,0.44,0.24,0.06
291,0.01,0.16,0.39,0.32,0.12
292,0.07,0.16,0.2,0.36,0.21
293,0.01,0.28,0.32,0.22,0.17
294,0.02,0.2,0.33,0.35,0.1
295,0.13,0.21,0.19,0.33,0.14
296,0.03,0.25,0.38,0.24,0.1
297,0.04,0.52,0.3,0.07,0.07
298,0.04,0.23,0.31,0.27,0.15
299,0.01,0.34,0.51,0.08,0.06
300,0.04,0.27,0.42,0.19,0.08
301,0.05,0.21,0.4,0.28,0.06
302,0.04,0.08,0.15,0.28,0.45
303,0.03,0.13,0.29,0.45,0.1
304,0.01,0.13,0.39,0.32,0.15
305,0.03,0.39,0.47,0.08,0.03
306,0.02,0.35,0.35,0.18,0.1
307,0.01,0.66,0.26,0.06,0.01
308,0.04,0.59,0.33,0.02,0.02
309,0.01,0.37,0.52,0.08,0.02
310,0.03,0.26,0.34,0.23,0.14
311,0.01,0.55,0.37,0.06,0.01
312,0.01,0.4,0.45,0.11,0.03
313,0.07,0.31,0.37,0.19,0.06
314,0.02,0.41,0.39,0.14,0.04
315,0.04,0.25,0.43,0.2,0.08
316,0.01,0.4,0.43,0.14,0.02
317,0,0.25,0.58,0.15,0.02
318,0,0.45,0.44,0.08,0.03
319,0.01,0.36,0.4,0.19,0.04
320,0.02,0.29,0.52,0.15,0.02
321,0.03,0.11,0.4,0.32,0.14
322,0,0.26,0.52,0.19,0.03
323,0.01,0.4,0.44,0.12,0.03
324,0.07,0.24,0.35,0.24,0.1
325,0,0.5,0.44,0.06,0
326,0.05,0.39,0.31,0.17,0.08
327,0,0.36,0.47,0.08,0.09
328,0.02,0.27,0.32,0.23,0.16
329,0.02,0.35,0.41,0.16,0.06
330,0.02,0.54,0.31,0.11,0.02
331,0.03,0.31,0.4,0.22,0.04
332,0.01,0.27,0.58,0.12,0.02
333,0,0.45,0.38,0.12,0.05
334,0.02,0.02,0.09,0.41,0.46
335,0.02,0.48,0.36,0.11,0.03
336,0.04,0.32,0.37,0.2,0.07
337,0.01,0.4,0.49,0.07,0.03
338,0,0.3,0.51,0.18,0.01
