id,no answer,very important,quite important,not important,not at all important
0.0000,0.0022,0.6938,0.1889,0.1064,0.0088
1.0000,0.0105,0.0966,0.8320,0.0543,0.0067
2.0000,0.0197,0.1659,0.5443,0.2590,0.0111
3.0000,0.0240,0.0814,0.6871,0.1663,0.0412
4.0000,0.0040,0.2307,0.7129,0.0456,0.0068
5.0000,0.0014,0.6145,0.3461,0.0337,0.0043
6.0000,0.0017,0.8176,0.1305,0.0419,0.0083
7.0000,0.0113,0.0292,0.2388,0.5015,0.2191
8.0000,0.0047,0.5595,0.3572,0.0540,0.0246
9.0000,0.0045,0.8739,0.0950,0.0216,0.0050
10.0000,0.0129,0.4952,0.3902,0.0698,0.0319
11.0000,0.0167,0.0330,0.1160,0.5268,0.3075
12.0000,0.0014,0.9333,0.0489,0.0114,0.0050
13.0000,0.0017,0.5141,0.4604,0.0201,0.0036
14.0000,0.0128,0.1432,0.6698,0.1655,0.0087
15.0000,0.0015,0.5940,0.3823,0.0184,0.0038
16.0000,0.0017,0.7734,0.2011,0.0199,0.0038
17.0000,0.0127,0.0025,0.0364,0.8622,0.0863
18.0000,0.0136,0.1872,0.7547,0.0394,0.0051
19.0000,0.0032,0.5325,0.3779,0.0527,0.0337
20.0000,0.2162,0.0743,0.2716,0.3000,0.1379
21.0000,0.0016,0.9284,0.0518,0.0123,0.0059
22.0000,0.0249,0.1989,0.5661,0.1766,0.0335
23.0000,0.0036,0.3724,0.5527,0.0642,0.0071
24.0000,0.0070,0.2464,0.6784,0.0623,0.0060
25.0000,0.0021,0.3286,0.6031,0.0598,0.0063
26.0000,0.0746,0.5735,0.2823,0.0512,0.0184
27.0000,0.0140,0.1468,0.6394,0.1409,0.0589
28.0000,0.0052,0.3125,0.5820,0.0920,0.0083
29.0000,0.0412,0.1937,0.7012,0.0559,0.0079
30.0000,0.0150,0.0474,0.2810,0.4398,0.2168
31.0000,0.0022,0.5233,0.4435,0.0272,0.0038
32.0000,0.0019,0.8979,0.0797,0.0146,0.0059
33.0000,0.0085,0.2822,0.6245,0.0743,0.0106
34.0000,0.0016,0.6518,0.3249,0.0181,0.0036
35.0000,0.0098,0.1494,0.3129,0.3539,0.1740
36.0000,0.0086,0.4591,0.4930,0.0349,0.0044
37.0000,0.0015,0.8391,0.1372,0.0178,0.0044
38.0000,0.0012,0.3515,0.6099,0.0334,0.0039
39.0000,0.0023,0.4540,0.5078,0.0324,0.0035
40.0000,0.0017,0.6814,0.2933,0.0196,0.0041
41.0000,0.0156,0.0969,0.3672,0.2884,0.2319
42.0000,0.0034,0.4138,0.4053,0.1171,0.0604
43.0000,0.0014,0.5679,0.4043,0.0228,0.0036
44.0000,0.0031,0.5304,0.4262,0.0357,0.0047
45.0000,0.0051,0.1990,0.3790,0.3842,0.0326
46.0000,0.0012,0.6132,0.3646,0.0171,0.0039
47.0000,0.0019,0.5002,0.4328,0.0492,0.0159
48.0000,0.0036,0.7172,0.2283,0.0436,0.0073
49.0000,0.0097,0.8477,0.1205,0.0176,0.0045
50.0000,0.0014,0.7787,0.1901,0.0256,0.0042
51.0000,0.0018,0.6104,0.2797,0.0776,0.0305
52.0000,0.0022,0.3775,0.5812,0.0335,0.0056
53.0000,0.0133,0.0939,0.4534,0.4082,0.0313
54.0000,0.0026,0.1746,0.6356,0.1644,0.0227
55.0000,0.0012,0.6403,0.3391,0.0159,0.0036
56.0000,0.0064,0.1486,0.7730,0.0647,0.0074
57.0000,0.0019,0.4526,0.4971,0.0437,0.0047
58.0000,0.0027,0.1702,0.5551,0.2563,0.0156
59.0000,0.0039,0.6322,0.3261,0.0306,0.0072
60.0000,0.0014,0.8223,0.1563,0.0161,0.0039
61.0000,0.0103,0.0214,0.4735,0.3813,0.1135
62.0000,0.0110,0.0814,0.7130,0.1768,0.0178
63.0000,0.0026,0.3677,0.5774,0.0472,0.0051
64.0000,0.0030,0.5553,0.3785,0.0539,0.0093
65.0000,0.0075,0.2596,0.6802,0.0479,0.0048
66.0000,0.0213,0.1245,0.5668,0.2764,0.0109
67.0000,0.0026,0.6449,0.2677,0.0756,0.0093
68.0000,0.0037,0.4404,0.5226,0.0295,0.0039
69.0000,0.0027,0.1328,0.7072,0.1488,0.0084
70.0000,0.0043,0.5556,0.1992,0.2054,0.0355
71.0000,0.0035,0.5371,0.3892,0.0630,0.0071
72.0000,0.0048,0.8415,0.1340,0.0156,0.0041
73.0000,0.0058,0.2202,0.6487,0.1083,0.0170
74.0000,0.0019,0.6580,0.2872,0.0448,0.0082
75.0000,0.0023,0.7609,0.1771,0.0514,0.0083
76.0000,0.0016,0.8991,0.0819,0.0129,0.0046
77.0000,0.0083,0.2202,0.6486,0.1059,0.0170
78.0000,0.0144,0.5656,0.3363,0.0663,0.0174
79.0000,0.0025,0.4280,0.5351,0.0307,0.0037
80.0000,0.0026,0.5165,0.4129,0.0619,0.0061
81.0000,0.0017,0.7219,0.2531,0.0192,0.0041
82.0000,0.0055,0.3177,0.5389,0.0851,0.0529
83.0000,0.2110,0.2352,0.4490,0.0716,0.0333
84.0000,0.0105,0.1652,0.3627,0.3936,0.0681
85.0000,0.0017,0.5815,0.3661,0.0414,0.0093
86.0000,0.0019,0.7496,0.2132,0.0310,0.0043
87.0000,0.0014,0.5748,0.4037,0.0165,0.0036
88.0000,0.0087,0.0422,0.3228,0.5205,0.1058
