id,no answer,very important,quite important,not important,not at all important
0,0.0018,0.7463,0.1664,0.0771,0.0084
1,0.0081,0.0609,0.8712,0.0551,0.0047
2,0.0046,0.1506,0.5976,0.2341,0.0132
3,0.0172,0.0622,0.7473,0.144,0.0293
4,0.0016,0.2118,0.7209,0.0606,0.0052
5,0.0013,0.6385,0.3178,0.0391,0.0033
6,0.0015,0.7235,0.1975,0.0479,0.0296
7,0.0105,0.0159,0.2752,0.5063,0.1921
8,0.0067,0.575,0.3137,0.0715,0.0332
9,0.0056,0.8729,0.0979,0.0198,0.0037
10,0.0109,0.5114,0.3711,0.0695,0.0371
11,0.0102,0.0131,0.1207,0.5524,0.3036
12,0.0016,0.8685,0.1106,0.016,0.0033
13,0.0013,0.4526,0.5265,0.0169,0.0027
14,0.003,0.1595,0.6669,0.1502,0.0205
15,0.0022,0.5256,0.4487,0.0208,0.0027
16,0.0016,0.8241,0.1465,0.0243,0.0034
17,0.004,0.0036,0.0681,0.7881,0.1361
18,0.0052,0.1505,0.7953,0.0445,0.0046
19,0.0023,0.5916,0.3182,0.0592,0.0287
20,0.0712,0.0581,0.3517,0.3746,0.1444
21,0.0011,0.9406,0.0464,0.0091,0.0028
22,0.0158,0.1248,0.6183,0.2094,0.0317
23,0.0027,0.4509,0.4736,0.0644,0.0083
24,0.003,0.3983,0.5429,0.0515,0.0043
25,0.0012,0.3241,0.6201,0.0506,0.004
26,0.0868,0.4952,0.3056,0.0776,0.0348
27,0.0073,0.0871,0.6822,0.1696,0.0538
28,0.0014,0.2794,0.6273,0.0862,0.0057
29,0.0445,0.1755,0.7143,0.06,0.0057
30,0.0308,0.0294,0.3265,0.4024,0.2109
31,0.0012,0.5842,0.3805,0.0307,0.0034
32,0.0011,0.9199,0.0667,0.0094,0.0029
33,0.0046,0.2378,0.6845,0.0677,0.0053
34,0.0014,0.6218,0.3583,0.0158,0.0027
35,0.0213,0.082,0.3232,0.333,0.2404
36,0.0028,0.4784,0.4836,0.0324,0.0029
37,0.0014,0.8867,0.0908,0.0175,0.0036
38,0.0014,0.3487,0.6053,0.0414,0.0032
39,0.0014,0.4546,0.5035,0.0376,0.0028
40,0.0011,0.6689,0.3097,0.0173,0.003
41,0.0192,0.0606,0.3948,0.3041,0.2213
42,0.0024,0.3303,0.4243,0.1495,0.0935
43,0.0013,0.5852,0.3867,0.0242,0.0027
44,0.0015,0.5317,0.4291,0.0345,0.0032
45,0.0126,0.1707,0.4105,0.3629,0.0433
46,0.001,0.574,0.4066,0.0157,0.0027
47,0.0011,0.4652,0.4704,0.0524,0.0109
48,0.0018,0.7184,0.2235,0.0517,0.0046
49,0.0081,0.8118,0.1465,0.0298,0.0038
50,0.0014,0.8138,0.1535,0.0276,0.0036
51,0.0015,0.7013,0.2127,0.0584,0.0261
52,0.0026,0.2898,0.6582,0.0457,0.0037
53,0.0116,0.0766,0.4573,0.421,0.0335
54,0.0017,0.1655,0.7144,0.1031,0.0153
55,0.001,0.5962,0.3845,0.0157,0.0027
56,0.0041,0.1151,0.8339,0.0433,0.0036
57,0.0025,0.3919,0.5444,0.0574,0.0039
58,0.0025,0.1831,0.5719,0.233,0.0095
59,0.0085,0.6617,0.3036,0.0226,0.0036
60,0.0013,0.7789,0.2012,0.0152,0.0033
61,0.0103,0.028,0.5143,0.3288,0.1187
62,0.0104,0.0887,0.7117,0.1565,0.0328
63,0.0034,0.3886,0.5648,0.0401,0.0031
64,0.0014,0.486,0.4446,0.0565,0.0115
65,0.0048,0.3949,0.554,0.0425,0.0037
66,0.0162,0.13,0.6505,0.1893,0.0142
67,0.0016,0.4848,0.4195,0.0886,0.0055
68,0.0047,0.5185,0.4373,0.036,0.0034
69,0.0054,0.1016,0.7855,0.1023,0.0052
70,0.0021,0.3992,0.3793,0.1789,0.0406
71,0.0016,0.5315,0.4166,0.0461,0.0041
72,0.0015,0.9275,0.0538,0.0138,0.0035
73,0.003,0.2463,0.6069,0.1144,0.0295
74,0.0014,0.725,0.2157,0.0447,0.0131
75,0.0047,0.6666,0.2235,0.0772,0.028
76,0.0011,0.9359,0.0511,0.0091,0.0028
77,0.0023,0.2432,0.5982,0.1264,0.03
78,0.0228,0.3609,0.5174,0.0673,0.0316
79,0.0035,0.3179,0.6369,0.0385,0.0032
80,0.0034,0.4617,0.4567,0.0543,0.0238
81,0.0012,0.6724,0.3041,0.0188,0.0035
82,0.0015,0.3011,0.5808,0.0783,0.0382
83,0.4239,0.2195,0.2804,0.0512,0.025
84,0.0421,0.124,0.4221,0.3181,0.0937
85,0.0013,0.6763,0.2838,0.0322,0.0064
86,0.0013,0.8011,0.1691,0.0253,0.0032
87,0.0011,0.5612,0.4155,0.0196,0.0026
88,0.0066,0.0283,0.351,0.4934,0.1207
89,0.0233,0.1419,0.398,0.3671,0.0697
90,0.0017,0.5278,0.4442,0.0229,0.0034
91,0.0033,0.2277,0.6199,0.0927,0.0564
92,0.011,0.1435,0.5059,0.3054,0.0342
93,0.0221,0.1318,0.5249,0.2681,0.0531
94,0.0018,0.5075,0.4164,0.0501,0.0243
95,0.001,0.6061,0.3781,0.0121,0.0027
96,0.0039,0.0503,0.4979,0.267,0.1809
97,0.0015,0.6931,0.2794,0.0228,0.0032
98,0.0114,0.0471,0.2781,0.5651,0.0982
99,0.001,0.551,0.422,0.0232,0.0028
100,0.0012,0.7002,0.2796,0.0161,0.0029
101,0.0021,0.3228,0.5434,0.1127,0.019
102,0.0037,0.1964,0.4284,0.1509,0.2206
103,0.006,0.0142,0.0812,0.3802,0.5183
104,0.0166,0.0113,0.1062,0.5006,0.3653
105,0.0011,0.9359,0.0511,0.0091,0.0028
106,0.0074,0.183,0.6366,0.1473,0.0257
107,0.0014,0.7604,0.2173,0.0168,0.004
108,0.0016,0.7654,0.2088,0.0209,0.0033
109,0.0056,0.5404,0.3399,0.0782,0.0359
110,0.0017,0.1718,0.7256,0.0723,0.0287
111,0.0016,0.756,0.2188,0.0201,0.0035
112,0.0019,0.31,0.6456,0.0393,0.0032
113,0.0027,0.1122,0.7854,0.0943,0.0054
114,0.0041,0.4132,0.49,0.0872,0.0056
115,0.0015,0.6981,0.2746,0.0226,0.0031
116,0.0169,0.0154,0.4822,0.3699,0.1156
117,0.0174,0.0443,0.4097,0.42,0.1085
118,0.0011,0.4868,0.4648,0.0439,0.0034
119,0.0064,0.0271,0.2451,0.4912,0.2301
120,0.0016,0.7618,0.2172,0.0161,0.0033
121,0.0092,0.2878,0.6508,0.0483,0.0038
122,0.0054,0.029,0.1352,0.3638,0.4666
123,0.007,0.0228,0.3315,0.4154,0.2233
124,0.0067,0.1567,0.6256,0.1637,0.0472
125,0.0013,0.5918,0.3655,0.0358,0.0055
126,0.029,0.0398,0.4823,0.3527,0.0963
127,0.0022,0.5196,0.4338,0.0359,0.0085
128,0.0014,0.6614,0.2587,0.052,0.0265
129,0.0027,0.0789,0.7689,0.1437,0.0057
130,0.0032,0.0537,0.6237,0.2768,0.0426
131,0.0051,0.1865,0.2862,0.1373,0.3849
132,0.0012,0.6935,0.2869,0.0155,0.003
133,0.0185,0.1208,0.5661,0.2363,0.0583
134,0.0012,0.434,0.4752,0.062,0.0276
135,0.0058,0.5815,0.3749,0.0349,0.0029
136,0.0237,0.2016,0.3958,0.2593,0.1196
137,0.0014,0.3059,0.6519,0.0372,0.0036
138,0.0197,0.1227,0.1176,0.3517,0.3882
139,0.0067,0.14,0.5875,0.2307,0.0352
140,0.0202,0.3356,0.5467,0.0701,0.0274
141,0.0051,0.1255,0.7075,0.1522,0.0097
142,0.0013,0.6014,0.375,0.0191,0.0032
143,0.0119,0.1896,0.6359,0.1393,0.0234
144,0.0023,0.7527,0.2147,0.0263,0.004
145,0.0517,0.0885,0.3034,0.325,0.2313
146,0.0023,0.3798,0.4987,0.0845,0.0347
147,0.0247,0.1569,0.6293,0.1541,0.035
148,0.0111,0.0476,0.6443,0.2853,0.0117
149,0.0026,0.4869,0.4493,0.0566,0.0046
150,0.0684,0.0845,0.6371,0.168,0.042
151,0.0049,0.0177,0.165,0.3917,0.4208
152,0.0014,0.8578,0.117,0.0202,0.0036
153,0.0011,0.6806,0.2885,0.0267,0.003
154,0.0012,0.8658,0.1198,0.0103,0.003
155,0.0197,0.0852,0.2755,0.4521,0.1675
156,0.0035,0.2669,0.6561,0.0634,0.0102
157,0.0013,0.8288,0.1522,0.0146,0.0032
158,0.0192,0.1054,0.6712,0.1687,0.0355
159,0.0071,0.0248,0.2609,0.4734,0.2338
160,0.0164,0.1233,0.7244,0.1261,0.0097
161,0.0011,0.9505,0.0369,0.0088,0.0027
162,0.0203,0.0442,0.1853,0.4599,0.2904
163,0.0011,0.5523,0.4188,0.0244,0.0034
164,0.0257,0.2173,0.5436,0.1726,0.0408
165,0.0011,0.3248,0.638,0.0329,0.0031
166,0.0025,0.6067,0.2941,0.0681,0.0287
167,0.0014,0.7548,0.2186,0.0217,0.0035
168,0.0018,0.4852,0.468,0.0415,0.0034
169,0.0038,0.446,0.3742,0.1477,0.0284
170,0.0016,0.7291,0.2131,0.0501,0.006
171,0.0012,0.3908,0.5476,0.0556,0.0048
172,0.0021,0.0496,0.8199,0.1232,0.0052
173,0.0038,0.2254,0.6445,0.0949,0.0314
174,0.0166,0.0625,0.7374,0.1429,0.0406
175,0.0215,0.1565,0.6933,0.1203,0.0084
176,0.0047,0.0157,0.3779,0.4845,0.1172
177,0.0123,0.0799,0.8196,0.0714,0.0168
178,0.0014,0.9264,0.0576,0.0116,0.003
179,0.0038,0.3925,0.5043,0.0807,0.0187
180,0.0012,0.3266,0.6075,0.0604,0.0043
181,0.0031,0.144,0.736,0.1124,0.0046
182,0.0013,0.8875,0.0977,0.0104,0.0032
183,0.001,0.5578,0.4098,0.0288,0.0027
184,0.005,0.0157,0.4088,0.5059,0.0646
185,0.0036,0.4505,0.4846,0.0398,0.0215
186,0.0013,0.8495,0.1269,0.019,0.0033
187,0.0013,0.5196,0.4589,0.0172,0.0031
188,0.0038,0.1824,0.6903,0.1172,0.0063
189,0.0015,0.8775,0.09,0.0253,0.0058
190,0.005,0.0443,0.3669,0.5205,0.0633
191,0.0015,0.6082,0.3665,0.0206,0.0032
192,0.0058,0.2011,0.4388,0.1807,0.1736
193,0.0057,0.0334,0.2922,0.5936,0.0752
194,0.0026,0.6842,0.2346,0.07,0.0087
195,0.0055,0.0338,0.3037,0.6089,0.048
196,0.001,0.4732,0.4992,0.0241,0.0026
197,0.0016,0.9053,0.0784,0.0117,0.003
198,0.0222,0.0413,0.1755,0.5635,0.1973
199,0.0011,0.5303,0.4262,0.0386,0.0039
200,0.059,0.0662,0.4927,0.3277,0.0543
201,0.011,0.0031,0.068,0.3132,0.6046
202,0.0041,0.4552,0.4867,0.0499,0.0041
203,0.0014,0.8438,0.1369,0.0142,0.0036
204,0.0015,0.6735,0.2851,0.0268,0.013
205,0.0078,0.1344,0.4958,0.3244,0.0376
206,0.006,0.5524,0.3456,0.0494,0.0466
207,0.0016,0.4431,0.5356,0.0169,0.0028
208,0.0052,0.1983,0.4892,0.2233,0.0839
209,0.0016,0.2821,0.6343,0.0642,0.0179
210,0.0029,0.5763,0.225,0.116,0.0798
211,0.0021,0.0939,0.4485,0.3196,0.1359
212,0.0048,0.0126,0.0823,0.6506,0.2497
213,0.0087,0.2718,0.5603,0.1543,0.0049
214,0.0034,0.1329,0.6067,0.2473,0.0097
215,0.0022,0.2056,0.7284,0.058,0.0057
216,0.0032,0.0132,0.1188,0.5925,0.2723
217,0.0014,0.8468,0.1312,0.0171,0.0035
218,0.0013,0.8656,0.1149,0.015,0.0033
219,0.0017,0.7354,0.2224,0.0366,0.004
220,0.0158,0.0401,0.1385,0.5486,0.2569
221,0.0014,0.8371,0.1327,0.0253,0.0035
222,0.0038,0.1583,0.3854,0.2498,0.2028
223,0.0014,0.7559,0.2097,0.0281,0.0049
224,0.0102,0.0117,0.0758,0.4275,0.4748
225,0.0014,0.1968,0.7135,0.0819,0.0064
226,0.0031,0.2986,0.5785,0.0805,0.0393
227,0.0016,0.2809,0.6457,0.0639,0.008
228,0.0578,0.7933,0.1146,0.0293,0.0049
229,0.0013,0.6091,0.3306,0.0548,0.0041
230,0.0099,0.2586,0.4416,0.1819,0.1081
231,0.0023,0.1481,0.7077,0.136,0.006
232,0.0014,0.901,0.0782,0.0159,0.0035
233,0.0148,0.2546,0.4253,0.1736,0.1317
234,0.003,0.042,0.2699,0.4966,0.1885
235,0.0052,0.0165,0.3602,0.5064,0.1117
236,0.0045,0.0805,0.7554,0.1543,0.0053
237,0.0014,0.91,0.0684,0.0168,0.0034
238,0.002,0.1194,0.7179,0.153,0.0076
239,0.0021,0.6575,0.2827,0.0363,0.0215
240,0.0178,0.048,0.6429,0.2847,0.0067
241,0.0228,0.5076,0.3575,0.0789,0.0333
242,0.0014,0.8153,0.1672,0.0127,0.0035
243,0.0014,0.4566,0.4666,0.0569,0.0185
244,0.0014,0.8552,0.1144,0.0255,0.0035
245,0.0013,0.4529,0.5199,0.0231,0.0028
246,0.0015,0.937,0.0447,0.0131,0.0038
247,0.013,0.5438,0.3259,0.0855,0.0318
248,0.0022,0.5653,0.3472,0.0563,0.0291
249,0.003,0.1023,0.795,0.0954,0.0043
250,0.0033,0.4416,0.5298,0.0224,0.0029
251,0.0013,0.8083,0.1755,0.0117,0.0032
252,0.001,0.5675,0.413,0.0158,0.0027
253,0.0015,0.3203,0.5905,0.0821,0.0057
254,0.0323,0.1421,0.4302,0.2226,0.1728
255,0.0026,0.5854,0.2981,0.0695,0.0444
256,0.0015,0.9179,0.0577,0.0185,0.0043
257,0.0101,0.0093,0.1352,0.4253,0.42
258,0.0019,0.8369,0.1358,0.0212,0.0042
259,0.0026,0.7653,0.1582,0.0434,0.0305
260,0.0038,0.1156,0.4028,0.2659,0.2119
261,0.0012,0.4827,0.4671,0.0454,0.0037
262,0.0027,0.6378,0.2834,0.0484,0.0277
263,0.0146,0.0254,0.3665,0.5152,0.0784
264,0.026,0.0248,0.4323,0.3245,0.1924
265,0.0038,0.1143,0.4086,0.2612,0.2121
266,0.0023,0.1325,0.5288,0.282,0.0544
267,0.002,0.5609,0.417,0.0174,0.0026
268,0.0014,0.48,0.4834,0.0324,0.0029
269,0.0011,0.6027,0.3685,0.0249,0.0028
270,0.0028,0.4475,0.4589,0.0627,0.0281
271,0.0019,0.651,0.2799,0.0441,0.0231
272,0.0012,0.6555,0.2881,0.0451,0.0101
273,0.0156,0.2305,0.5545,0.1239,0.0755
274,0.0179,0.0095,0.104,0.522,0.3465
275,0.0013,0.6801,0.2724,0.027,0.0192
276,0.0013,0.6177,0.3679,0.0103,0.0028
277,0.0013,0.757,0.2235,0.0148,0.0034
278,0.0013,0.6109,0.361,0.0239,0.0028
279,0.0075,0.4209,0.5041,0.0554,0.0121
280,0.0015,0.9147,0.0569,0.0225,0.0043
281,0.0033,0.4026,0.5643,0.0267,0.0032
282,0.0041,0.0478,0.6002,0.2203,0.1275
283,0.0202,0.3968,0.4484,0.0998,0.0348
284,0.001,0.6185,0.3564,0.0215,0.0027
285,0.0066,0.1365,0.657,0.1651,0.0348
286,0.0013,0.8547,0.1291,0.0117,0.0032
287,0.0725,0.3684,0.4809,0.0538,0.0244
288,0.0022,0.0082,0.1434,0.4334,0.4128
289,0.0016,0.3038,0.6471,0.0437,0.0038
290,0.0056,0.1381,0.5106,0.3102,0.0354
291,0.0227,0.0641,0.5412,0.3102,0.0618
292,0.0368,0.04,0.1747,0.303,0.4455
293,0.0016,0.7895,0.174,0.0316,0.0033
294,0.0044,0.1882,0.5337,0.2452,0.0284
295,0.1969,0.0241,0.1154,0.1854,0.4782
296,0.0051,0.1976,0.6346,0.096,0.0667
297,0.0014,0.8604,0.1174,0.0174,0.0035
298,0.0137,0.1186,0.3777,0.4519,0.0382
299,0.0019,0.2506,0.6986,0.0454,0.0035
300,0.0026,0.1824,0.6503,0.1302,0.0345
301,0.0064,0.1183,0.605,0.2358,0.0345
302,0.2688,0.0272,0.065,0.1793,0.4597
303,0.002,0.0444,0.4309,0.4865,0.0362
304,0.0039,0.0446,0.5088,0.3429,0.0998
305,0.0011,0.5226,0.431,0.0419,0.0034
306,0.0013,0.6271,0.294,0.0567,0.0209
307,0.0014,0.9499,0.0312,0.0139,0.0036
308,0.001,0.9247,0.063,0.0086,0.0026
309,0.003,0.4143,0.542,0.0377,0.0029
310,0.0123,0.0472,0.4643,0.4441,0.0321
311,0.0012,0.6763,0.3029,0.0166,0.003
312,0.0027,0.3374,0.6033,0.0508,0.0058
