id,no answer,very important,quite important,not important,not at all important
0.0000,0.0018,0.7639,0.1692,0.0536,0.0114
1.0000,0.0025,0.0700,0.8615,0.0625,0.0035
2.0000,0.0167,0.0976,0.4997,0.3774,0.0087
3.0000,0.0178,0.1025,0.7153,0.1403,0.0241
4.0000,0.0016,0.4003,0.5445,0.0497,0.0039
5.0000,0.0012,0.6029,0.3651,0.0285,0.0023
6.0000,0.0018,0.6986,0.2369,0.0422,0.0205
7.0000,0.0144,0.0165,0.2877,0.4796,0.2018
8.0000,0.0024,0.4659,0.4384,0.0665,0.0268
9.0000,0.0130,0.8693,0.0851,0.0296,0.0030
10.0000,0.0067,0.5016,0.3382,0.1288,0.0247
11.0000,0.0042,0.0192,0.1331,0.5701,0.2734
12.0000,0.0012,0.9367,0.0496,0.0097,0.0027
13.0000,0.0013,0.5026,0.4699,0.0241,0.0021
14.0000,0.0089,0.1316,0.6229,0.2231,0.0134
15.0000,0.0019,0.5928,0.3790,0.0239,0.0025
16.0000,0.0016,0.8368,0.1372,0.0218,0.0027
17.0000,0.0155,0.0033,0.0775,0.7743,0.1294
18.0000,0.0070,0.1900,0.7604,0.0391,0.0035
19.0000,0.0019,0.5481,0.3851,0.0484,0.0164
20.0000,0.0895,0.1293,0.2912,0.3716,0.1184
21.0000,0.0011,0.9568,0.0313,0.0083,0.0025
22.0000,0.0161,0.1540,0.5588,0.2424,0.0286
23.0000,0.0030,0.3847,0.5477,0.0604,0.0042
24.0000,0.0025,0.4457,0.5010,0.0424,0.0085
25.0000,0.0024,0.3794,0.5609,0.0529,0.0044
26.0000,0.1209,0.4809,0.2938,0.0718,0.0326
27.0000,0.0158,0.0898,0.6286,0.1940,0.0717
28.0000,0.0028,0.3007,0.5669,0.1180,0.0116
29.0000,0.0137,0.2686,0.6590,0.0552,0.0034
30.0000,0.0215,0.0412,0.2919,0.4517,0.1937
31.0000,0.0012,0.5571,0.4151,0.0242,0.0023
32.0000,0.0015,0.9176,0.0652,0.0123,0.0034
33.0000,0.0044,0.2932,0.6266,0.0562,0.0196
34.0000,0.0019,0.6847,0.2896,0.0211,0.0027
35.0000,0.0156,0.0423,0.3343,0.4620,0.1458
36.0000,0.0052,0.5037,0.4563,0.0323,0.0024
37.0000,0.0024,0.7474,0.1922,0.0542,0.0037
38.0000,0.0016,0.3373,0.6182,0.0401,0.0028
39.0000,0.0021,0.3856,0.5736,0.0357,0.0030
40.0000,0.0019,0.7093,0.2639,0.0216,0.0033
41.0000,0.0105,0.0638,0.3989,0.3787,0.1481
42.0000,0.0038,0.2816,0.4573,0.1432,0.1142
