id,no answer,very important,quite important,not important,not at all important
0,0.0014,0.8257,0.0899,0.0737,0.0092
1,0.0141,0.1046,0.7973,0.0741,0.0098
2,0.0116,0.0872,0.5069,0.3744,0.0198
3,0.0102,0.0984,0.7724,0.0907,0.0284
4,0.0037,0.2768,0.6432,0.0629,0.0134
5,0.0017,0.7312,0.217,0.0408,0.0093
6,0.0023,0.7915,0.1544,0.0243,0.0275
7,0.0078,0.0257,0.2782,0.4547,0.2336
8,0.0045,0.5621,0.3226,0.0816,0.0293
9,0.0039,0.8468,0.0947,0.0445,0.0102
10,0.0034,0.4627,0.3927,0.1092,0.032
11,0.0087,0.0715,0.1474,0.4312,0.3413
12,0.0012,0.8965,0.0906,0.0095,0.0022
13,0.0026,0.4239,0.5476,0.0217,0.0042
14,0.004,0.1813,0.5246,0.2708,0.0193
15,0.0043,0.5143,0.444,0.0308,0.0067
16,0.0065,0.8587,0.1199,0.0121,0.0028
17,0.0045,0.0078,0.066,0.8252,0.0965
18,0.0058,0.1457,0.7789,0.0574,0.0122
19,0.0038,0.3236,0.5909,0.0503,0.0314
20,0.0573,0.1613,0.3694,0.1326,0.2794
21,0.0008,0.9389,0.0537,0.0048,0.0018
22,0.0124,0.1722,0.586,0.1939,0.0355
23,0.0049,0.3449,0.5745,0.061,0.0147
24,0.0069,0.3526,0.5626,0.0612,0.0168
25,0.0026,0.2325,0.6796,0.0727,0.0126
26,0.0326,0.7291,0.1791,0.035,0.0242
27,0.0124,0.0895,0.6572,0.1629,0.078
28,0.0033,0.2839,0.5811,0.1194,0.0123
29,0.0989,0.2323,0.6001,0.0555,0.0132
30,0.008,0.0427,0.3821,0.3914,0.1758
31,0.005,0.5099,0.4237,0.0508,0.0106
32,0.0021,0.918,0.0683,0.0087,0.0029
33,0.005,0.2869,0.632,0.0558,0.0202
34,0.0033,0.6026,0.365,0.0233,0.0058
35,0.008,0.0672,0.3604,0.3163,0.2482
36,0.0046,0.4417,0.5056,0.0381,0.0099
37,0.0035,0.8109,0.1504,0.0244,0.0109
38,0.0025,0.3998,0.5288,0.0633,0.0056
39,0.003,0.3759,0.5493,0.0642,0.0076
40,0.0024,0.6495,0.3206,0.0208,0.0066
41,0.0094,0.088,0.3484,0.3292,0.2249
42,0.0046,0.2997,0.4288,0.1537,0.1132
43,0.0026,0.4127,0.5469,0.0323,0.0056
44,0.0033,0.5827,0.3565,0.042,0.0156
45,0.0086,0.2506,0.364,0.3241,0.0526
46,0.0023,0.5253,0.4439,0.0227,0.0058
47,0.003,0.6306,0.293,0.0565,0.0169
48,0.0052,0.693,0.2504,0.043,0.0085
49,0.0078,0.7482,0.198,0.037,0.0089
50,0.0027,0.7987,0.1668,0.0224,0.0093
51,0.0018,0.6296,0.3163,0.0304,0.0219
52,0.0041,0.1895,0.717,0.0725,0.017
53,0.0111,0.0639,0.4844,0.3964,0.0441
