id,no answer,very important,quite important,not important,not at all important
0.0000,0.0014,0.8257,0.0899,0.0737,0.0092
1.0000,0.0141,0.1046,0.7973,0.0741,0.0098
2.0000,0.0116,0.0872,0.5069,0.3744,0.0198
3.0000,0.0102,0.0984,0.7724,0.0907,0.0284
4.0000,0.0037,0.2768,0.6432,0.0629,0.0134
5.0000,0.0017,0.7312,0.2170,0.0408,0.0093
6.0000,0.0023,0.7915,0.1544,0.0243,0.0275
7.0000,0.0078,0.0257,0.2782,0.4547,0.2336
8.0000,0.0045,0.5621,0.3226,0.0816,0.0293
9.0000,0.0039,0.8468,0.0947,0.0445,0.0102
10.0000,0.0034,0.4627,0.3927,0.1092,0.0320
11.0000,0.0087,0.0715,0.1474,0.4312,0.3413
12.0000,0.0012,0.8965,0.0906,0.0095,0.0022
13.0000,0.0026,0.4239,0.5476,0.0217,0.0042
14.0000,0.0040,0.1813,0.5246,0.2708,0.0193
15.0000,0.0043,0.5143,0.4440,0.0308,0.0067
16.0000,0.0065,0.8587,0.1199,0.0121,0.0028
17.0000,0.0045,0.0078,0.0660,0.8252,0.0965
18.0000,0.0058,0.1457,0.7789,0.0574,0.0122
19.0000,0.0038,0.3236,0.5909,0.0503,0.0314
20.0000,0.0573,0.1613,0.3694,0.1326,0.2794
21.0000,0.0008,0.9389,0.0537,0.0048,0.0018
22.0000,0.0124,0.1722,0.5860,0.1939,0.0355
23.0000,0.0049,0.3449,0.5745,0.0610,0.0147
24.0000,0.0069,0.3526,0.5626,0.0612,0.0168
25.0000,0.0026,0.2325,0.6796,0.0727,0.0126
26.0000,0.0326,0.7291,0.1791,0.0350,0.0242
27.0000,0.0124,0.0895,0.6572,0.1629,0.0780
28.0000,0.0033,0.2839,0.5811,0.1194,0.0123
29.0000,0.0989,0.2323,0.6001,0.0555,0.0132
30.0000,0.0080,0.0427,0.3821,0.3914,0.1758
31.0000,0.0050,0.5099,0.4237,0.0508,0.0106
32.0000,0.0021,0.9180,0.0683,0.0087,0.0029
33.0000,0.0050,0.2869,0.6320,0.0558,0.0202
34.0000,0.0033,0.6026,0.3650,0.0233,0.0058
35.0000,0.0080,0.0672,0.3604,0.3163,0.2482
36.0000,0.0046,0.4417,0.5056,0.0381,0.0099
37.0000,0.0035,0.8109,0.1504,0.0244,0.0109
38.0000,0.0025,0.3998,0.5288,0.0633,0.0056
39.0000,0.0030,0.3759,0.5493,0.0642,0.0076
40.0000,0.0024,0.6495,0.3206,0.0208,0.0066
41.0000,0.0094,0.0880,0.3484,0.3292,0.2249
42.0000,0.0046,0.2997,0.4288,0.1537,0.1132
43.0000,0.0026,0.4127,0.5469,0.0323,0.0056
44.0000,0.0033,0.5827,0.3565,0.0420,0.0156
45.0000,0.0086,0.2506,0.3640,0.3241,0.0526
46.0000,0.0023,0.5253,0.4439,0.0227,0.0058
47.0000,0.0030,0.6306,0.2930,0.0565,0.0169
48.0000,0.0052,0.6930,0.2504,0.0430,0.0085
49.0000,0.0078,0.7482,0.1980,0.0370,0.0089
50.0000,0.0027,0.7987,0.1668,0.0224,0.0093
51.0000,0.0018,0.6296,0.3163,0.0304,0.0219
52.0000,0.0041,0.1895,0.7170,0.0725,0.0170
53.0000,0.0111,0.0639,0.4844,0.3964,0.0441
54.0000,0.0048,0.2687,0.5851,0.1082,0.0332
55.0000,0.0047,0.5138,0.4522,0.0213,0.0079
56.0000,0.0052,0.1090,0.8035,0.0717,0.0106
57.0000,0.0029,0.3024,0.5523,0.1315,0.0109
58.0000,0.0091,0.2251,0.4858,0.2556,0.0244
59.0000,0.0028,0.5165,0.4141,0.0393,0.0273
60.0000,0.0018,0.9081,0.0797,0.0078,0.0026
61.0000,0.0107,0.0423,0.4475,0.3597,0.1397
62.0000,0.0032,0.0766,0.7496,0.1521,0.0185
63.0000,0.0029,0.3899,0.5423,0.0560,0.0090
64.0000,0.0077,0.5475,0.3502,0.0653,0.0294
65.0000,0.0065,0.3560,0.5799,0.0460,0.0116
66.0000,0.0128,0.0994,0.5146,0.3508,0.0224
67.0000,0.0039,0.5079,0.3582,0.1047,0.0253
68.0000,0.0053,0.4705,0.4719,0.0458,0.0064
69.0000,0.0063,0.0899,0.7747,0.1131,0.0160
70.0000,0.0069,0.2993,0.3751,0.2589,0.0599
71.0000,0.0067,0.4851,0.4061,0.0803,0.0219
72.0000,0.0041,0.9053,0.0788,0.0064,0.0054
73.0000,0.0038,0.2149,0.5948,0.1557,0.0307
74.0000,0.0029,0.5605,0.3665,0.0464,0.0237
75.0000,0.0028,0.7589,0.1979,0.0306,0.0097
76.0000,0.0012,0.9272,0.0620,0.0077,0.0019
77.0000,0.0029,0.4125,0.3821,0.1744,0.0281
78.0000,0.0141,0.5941,0.2693,0.0576,0.0649
79.0000,0.0057,0.3541,0.5934,0.0379,0.0090
80.0000,0.0037,0.4745,0.4638,0.0432,0.0148
81.0000,0.0030,0.5771,0.3917,0.0199,0.0083
82.0000,0.0043,0.3109,0.4826,0.0757,0.1264
83.0000,0.1616,0.3881,0.3621,0.0495,0.0387
84.0000,0.0111,0.1653,0.5479,0.1820,0.0937
85.0000,0.0019,0.6890,0.2398,0.0482,0.0211
86.0000,0.0023,0.7196,0.2358,0.0348,0.0074
87.0000,0.0039,0.5367,0.4348,0.0186,0.0060
88.0000,0.0048,0.0298,0.3068,0.5322,0.1264
89.0000,0.0045,0.1669,0.3007,0.4906,0.0373
90.0000,0.0044,0.3683,0.5820,0.0283,0.0171
91.0000,0.0027,0.1440,0.6634,0.1257,0.0641
92.0000,0.0112,0.2078,0.4421,0.3055,0.0334
93.0000,0.0168,0.3233,0.3503,0.2561,0.0535
94.0000,0.0048,0.4807,0.4316,0.0622,0.0208
95.0000,0.0024,0.6535,0.3240,0.0157,0.0043
96.0000,0.0067,0.0543,0.5115,0.2808,0.1468
97.0000,0.0043,0.7639,0.1911,0.0303,0.0103
98.0000,0.0073,0.0882,0.2819,0.5639,0.0587
99.0000,0.0024,0.3957,0.5592,0.0355,0.0071
100.0000,0.0016,0.7559,0.2243,0.0146,0.0036
101.0000,0.0084,0.2302,0.6271,0.1064,0.0279
102.0000,0.0109,0.2957,0.2589,0.2562,0.1783
103.0000,0.0058,0.0154,0.0852,0.2914,0.6021
