id,no answer,very important,quite important,not important,not at all important
0,0.0017,0.8255,0.1082,0.0487,0.0159
1,0.0067,0.0841,0.8317,0.0677,0.0097
2,0.0093,0.1349,0.4138,0.4224,0.0197
3,0.015,0.0908,0.6921,0.1446,0.0575
4,0.0032,0.2645,0.6381,0.0812,0.0131
5,0.0035,0.5823,0.3607,0.0459,0.0076
6,0.0019,0.7231,0.2069,0.0299,0.0382
7,0.0061,0.0244,0.2457,0.5008,0.223
8,0.0035,0.4219,0.4058,0.1292,0.0396
9,0.0035,0.831,0.1218,0.0322,0.0114
10,0.0044,0.4615,0.3694,0.1158,0.049
11,0.0071,0.0883,0.1668,0.4364,0.3013
12,0.0016,0.8222,0.1603,0.0134,0.0026
13,0.003,0.3412,0.6163,0.0305,0.0091
14,0.0025,0.1291,0.4696,0.3778,0.021
15,0.0036,0.4466,0.5177,0.0259,0.0063
16,0.0037,0.7948,0.1717,0.0257,0.0042
17,0.0041,0.0075,0.0742,0.8035,0.1107
18,0.0069,0.1713,0.7366,0.075,0.0102
19,0.0025,0.5285,0.3799,0.0608,0.0283
20,0.0727,0.1951,0.2961,0.2182,0.2179
21,0.0011,0.9233,0.0644,0.0086,0.0025
22,0.0073,0.1732,0.6201,0.1664,0.0331
23,0.004,0.4013,0.4911,0.0869,0.0168
24,0.0089,0.3493,0.5478,0.0737,0.0203
25,0.0037,0.2497,0.6388,0.0865,0.0212
26,0.0385,0.7213,0.1713,0.0421,0.0269
27,0.0122,0.086,0.6407,0.1754,0.0857
28,0.0029,0.257,0.5409,0.1736,0.0256
29,0.0353,0.296,0.6094,0.0478,0.0115
30,0.0052,0.0373,0.3228,0.3607,0.2741
31,0.0044,0.5415,0.41,0.0348,0.0093
32,0.001,0.9386,0.0511,0.007,0.0023
33,0.0044,0.2573,0.6515,0.0612,0.0257
34,0.0024,0.5988,0.3637,0.029,0.0061
35,0.0054,0.0601,0.2963,0.376,0.2622
36,0.0049,0.4087,0.534,0.044,0.0084
37,0.0035,0.8081,0.1501,0.0265,0.0118
38,0.0021,0.3077,0.6114,0.0717,0.0071
39,0.0032,0.3238,0.599,0.0637,0.0103
40,0.0026,0.6695,0.2947,0.0277,0.0055
41,0.0076,0.1271,0.3564,0.2982,0.2108
42,0.0038,0.2785,0.3916,0.2353,0.0908
43,0.0036,0.4444,0.4995,0.0455,0.0071
44,0.0045,0.4915,0.4339,0.0575,0.0126
45,0.0067,0.2024,0.3798,0.3216,0.0895
46,0.0022,0.4913,0.4739,0.027,0.0057
47,0.0023,0.6537,0.2953,0.0366,0.0121
48,0.0037,0.6673,0.2896,0.0341,0.0053
49,0.0098,0.8341,0.1231,0.0262,0.0068
50,0.0024,0.7338,0.2178,0.0313,0.0147
51,0.0027,0.6532,0.2733,0.043,0.0278
52,0.0066,0.3347,0.5887,0.0545,0.0156
53,0.0062,0.0589,0.4747,0.4139,0.0462
54,0.0035,0.1956,0.6424,0.1265,0.0319
55,0.0048,0.4812,0.4825,0.0243,0.0072
56,0.0068,0.104,0.7949,0.0798,0.0145
57,0.005,0.2613,0.5221,0.1984,0.0131
58,0.0062,0.285,0.4681,0.2056,0.0351
59,0.0034,0.4469,0.4843,0.0408,0.0247
60,0.0018,0.8305,0.1508,0.0117,0.0051
61,0.0044,0.0358,0.4641,0.3443,0.1515
62,0.0026,0.0822,0.641,0.2547,0.0195
63,0.0033,0.3358,0.5797,0.0714,0.0098
64,0.0224,0.4159,0.4045,0.1232,0.0341
65,0.0113,0.263,0.6664,0.0474,0.0118
66,0.014,0.1389,0.4967,0.3253,0.025
67,0.004,0.6383,0.2352,0.1066,0.0158
68,0.0046,0.4587,0.4939,0.0367,0.0061
69,0.0043,0.1172,0.7249,0.1352,0.0184
70,0.0043,0.3227,0.3364,0.289,0.0477
71,0.0052,0.4521,0.4563,0.0701,0.0163
72,0.0025,0.8917,0.0773,0.0146,0.014
73,0.0046,0.1815,0.6387,0.1422,0.033
74,0.0033,0.5465,0.3568,0.0659,0.0276
75,0.0034,0.6381,0.2779,0.0601,0.0205
76,0.0019,0.9128,0.076,0.0069,0.0024
77,0.0034,0.3994,0.3677,0.2057,0.0238
78,0.019,0.6918,0.1943,0.0551,0.0398
79,0.006,0.3195,0.6172,0.0489,0.0085
80,0.0029,0.573,0.3697,0.0403,0.0141
81,0.0034,0.6657,0.2864,0.0304,0.0142
82,0.0054,0.2441,0.5604,0.1083,0.0819
83,0.2098,0.4052,0.2791,0.0598,0.046
84,0.0155,0.1889,0.3384,0.2637,0.1934
85,0.0022,0.6888,0.2363,0.0535,0.0192
86,0.0022,0.7265,0.2075,0.0556,0.0082
87,0.0042,0.5309,0.433,0.0254,0.0065
88,0.0069,0.0337,0.2707,0.4827,0.206
89,0.0059,0.2346,0.2626,0.4352,0.0617
90,0.0037,0.5273,0.4209,0.0269,0.0213
91,0.0026,0.2197,0.5815,0.1299,0.0663
92,0.0067,0.1344,0.4894,0.3137,0.0558
93,0.0211,0.2019,0.395,0.291,0.0909
94,0.0038,0.5379,0.3565,0.0697,0.0321
95,0.0034,0.5933,0.368,0.0284,0.0069
96,0.0073,0.0586,0.4509,0.323,0.1602
97,0.0038,0.6434,0.2988,0.043,0.011
98,0.0057,0.0725,0.2007,0.6208,0.1003
99,0.0023,0.4775,0.467,0.0462,0.0069
100,0.0023,0.7183,0.2574,0.0173,0.0045
101,0.0051,0.1755,0.6343,0.1426,0.0425
102,0.0056,0.2753,0.2719,0.2486,0.1986
103,0.0085,0.0222,0.1723,0.236,0.561
104,0.005,0.0185,0.0732,0.5385,0.3648
105,0.0011,0.8709,0.1156,0.01,0.0024
106,0.0092,0.2553,0.5576,0.1632,0.0148
107,0.0068,0.6652,0.2899,0.0278,0.0103
108,0.0031,0.7183,0.2379,0.0357,0.0049
109,0.0055,0.5521,0.3015,0.1064,0.0344
110,0.0025,0.2332,0.6388,0.0907,0.0348
111,0.0026,0.7891,0.1844,0.0195,0.0044
112,0.0044,0.3161,0.6209,0.0497,0.0089
113,0.0032,0.0899,0.7687,0.1248,0.0133
114,0.0033,0.2364,0.5375,0.2079,0.015
115,0.0028,0.627,0.3295,0.0332,0.0076
116,0.0085,0.0278,0.3941,0.3962,0.1735
117,0.0066,0.0334,0.3554,0.3934,0.2112
118,0.0035,0.4623,0.4774,0.0426,0.0141
119,0.0051,0.0382,0.2656,0.3871,0.304
120,0.0023,0.7238,0.2569,0.0129,0.004
121,0.0055,0.4311,0.5035,0.0518,0.0082
122,0.0044,0.0085,0.1126,0.2407,0.6338
123,0.006,0.0284,0.255,0.4883,0.2223
124,0.0045,0.1402,0.5609,0.1964,0.098
125,0.0029,0.5641,0.3721,0.044,0.0169
126,0.0055,0.0484,0.3771,0.4191,0.1498
127,0.0029,0.4521,0.4888,0.0385,0.0178
128,0.0037,0.75,0.1817,0.0368,0.0278
129,0.0036,0.1039,0.6639,0.2036,0.025
130,0.0031,0.0865,0.5939,0.2824,0.0341
131,0.0057,0.1496,0.2789,0.1346,0.4312
132,0.003,0.7767,0.2028,0.0137,0.0037
133,0.0066,0.1419,0.5144,0.2119,0.1252
134,0.0126,0.3894,0.4702,0.0952,0.0326
135,0.0051,0.588,0.349,0.0484,0.0095
136,0.034,0.1679,0.3001,0.3191,0.1789
137,0.005,0.2085,0.7272,0.0472,0.0122
138,0.0034,0.3117,0.1514,0.289,0.2444
139,0.0052,0.1512,0.5178,0.2826,0.0432
140,0.01,0.2933,0.5928,0.0713,0.0325
141,0.0065,0.1625,0.6128,0.1834,0.0348
142,0.0027,0.5659,0.3908,0.0253,0.0152
143,0.0071,0.1725,0.6003,0.182,0.0381
144,0.0034,0.7629,0.1965,0.0266,0.0106
145,0.048,0.0604,0.2866,0.35,0.2551
146,0.0048,0.3459,0.5431,0.0693,0.0369
147,0.0219,0.185,0.6466,0.1062,0.0403
148,0.004,0.0499,0.5243,0.3939,0.0279
149,0.0074,0.4576,0.4183,0.0974,0.0193
150,0.0452,0.1188,0.5073,0.2855,0.0432
151,0.0041,0.0213,0.1998,0.3083,0.4665
152,0.0026,0.8201,0.1471,0.0195,0.0106
153,0.0026,0.5702,0.371,0.0481,0.0081
154,0.0015,0.853,0.1339,0.0087,0.0028
155,0.0098,0.0633,0.337,0.4657,0.1243
156,0.0049,0.2784,0.5938,0.0902,0.0326
157,0.0013,0.8545,0.124,0.0174,0.0028
158,0.0141,0.1644,0.6157,0.1655,0.0403
159,0.0111,0.0308,0.1703,0.5008,0.287
160,0.0243,0.4895,0.3631,0.1044,0.0186
161,0.0016,0.9136,0.0744,0.0074,0.003
162,0.0113,0.0449,0.1778,0.5112,0.2548
163,0.0044,0.4461,0.5104,0.0255,0.0136
164,0.0209,0.4975,0.3216,0.1287,0.0314
165,0.003,0.3023,0.6448,0.0406,0.0094
